Alignement,AlphaGaitDmin,BasDeButte,BasDeButte2,Bip,c3d,CGR18,CGR28,ChuteGrille,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,DebutOrdre,DistanceDmin,DistanceRecul,Dmin,Engagement,EngagementDmin,FinMarkerVisible,FinOrdre,FinSignalSensix,FinSignalSonore,ForceGuidonMax,ForceUDepart,ForceUPiedArMax,ForceUPiedAvMax,Franchissement,GaitDown,HauteurFWDmin,HauteurFWRecul,ImpulsionParCoups,ImpulsionParCoupsPAr,ImpulsionParCoupsPAv,longueurManivelle,MasseRider,MoyennePuissanceBasDeButte,MoyennePuissanceButteTotale,MoyennePuissancePremCassure,PDenHaut,PGenHaut,PGenHaut,PourcFuPremCassure,PremCassure,PuissanceMaxBasDeButte,PuissanceMaxPremCassure,Rate,RateForceDeveloppement,Recul,TailleRider,ThetaManivelleDepart,ThetaManivelleRecul,TimeToPeak,TpsBasDeButte,TpsDmin,TpsPassageGrille,TpsPremCassure,TpsReaction,TpsRecul,TpsTroism,TravailParCoups,TravailParCoupsPAr,TravailParCoupsPAv,Troism,VitesseBasDeButte,VitessePassageGrille,VitessePremCassure,VitesseTroism,VMaxBasDeButte,VMaxPremCassure
5444.0,34.07670268965135,6116.0,6135.0,5285.0,4.70989133185e-313,5514.0,5800.0,5393.0,5534.0,5659.0,5751.0,5833.0,2991.0,13.40148212790993,11.92621495971971,5471.0,5441.0,9.248175689010322,5840.0,4581.0,6815.0,6068.0,,757.8203071760311,2056.331994675412,5480.0,5512.0,5496.0,17.63503561221284,10.28372078715335,57255.702779592626,-2923.0639727895564,60178.76675238219,177.5,100.7,,1339.656364773506,1171.797592803308,5659.0,5534.0,5751.0,58.22525770514824,5766.0,,3556.991192746937,300.0,3129.697938451877,5402.0,187.0,74.21756160406595,70.26940543966478,0.4866666666666667,2.408333333333335,0.26,0.3966666666666667,1.243333333333333,5334.0,0.03,0.8366666666666667,163012.85300871,5682.757822321889,157330.0951863881,5644.0,12.631578947368569,4.633982228482031,8.880485800095553,7.432481605843233,,117.7379710054863
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31612.62555591314,29647.54984679853,1965.0757091146038,,,,,,5833.0,,,,,,,,,,,,,,,,,,,,,222584.7882155851,209983.9359767229,12600.85223886224,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16358.46683097433,519.888305294344,15838.57852567998,,,,,,,,,,,,,,,,,,,,,,,,,,,166163.9833094715,5419.73483608572,160744.2484733857,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14226.3535915623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153822.9985993432,,,,,,,,
