alphaGait,DeplacementRider,DistanceAligne,DistanceEngage,DistanceFWGait,DistanceFWRButte,ForcePied,ForcePiedAr,ForcePiedAr.1,ForcePiedAr.2,ForcePiedAv,ForcePiedAv.1,ForcePiedAv.2,ForceUPiedAr,ForceUPiedAv,IndiceEfficacitePiedAr,IndiceEfficacitePiedAv,IndiceEfficaciteTotal,Moment,MomentPAr,MomentPAv,Puissance,PuissancePAr,PuissancePAv,ThetaM,ThetaMDeg,ThetaMr,ThetaMrDeg,ThetaMrv,Time,VitesseRider,Impulsion,ImpulsionPAr,ImpulsionPAv,TravailPAr,TravailPAv
0.03419740186089439+0i,0.08193220806961676,0.2864472967371397,0.4050262186712347,-3.64424731104096e-05,5.921378829193413e-05,911.4076596174648,-65.1479409941059,-250.1728493625791,29.54952791944905,-65.98505177980489,644.386162022354,66.9645807191977,-250.1728493625791,644.386162022354,-0.9614647914551396,0.989524393158516,0.4325323673768923,69.97286299711004,-44.405680761857774,114.3785437589678,-2.296313546122501,1.4572701743311092,-3.75358372045361,4.471161155503216,256.1786637331707,-8.095209458855956,-460.10446128530197,-0.03281720152307247,0.03666666666666667,2.372873468923264,704.6256419557304,-443.7919935073879,1148.417635463118,14.602507478441751,-37.80486849108789
0.03554542090568055+0i,0.08749983006151751,0.2864559837655004,0.4050172411265674,-3.777040152658229e-05,7.65042068801014e-05,917.3874806858424,-69.4972379599853,-254.65369278702838,30.73187108598671,-63.11118134146322,644.824006497342,69.64902782944313,-254.65369278702838,644.824006497342,-0.9582469801656864,0.989543371852486,0.4253059060917431,69.25523068358065,-45.20103046969754,114.45626115327819,-2.229070746994446,1.4548546551574069,-3.683925402151852,4.471168917399278,256.1791084570561,-8.095201696959894,-460.1040165614167,-0.03218631610915886,0.04,2.303635783918419,775.0128332083698,-488.0963524600695,1263.109185668439,16.07898873350775,-41.6273573563378
0.03801053660145749+0i,0.1333020676027559,0.2864722781643169,0.4051058726621091,-7.941429908792097e-05,5.585509082400852e-05,917.1815971424298,-64.47987043331574,-252.6322971750341,28.44632000147531,-64.91854333458726,647.9249123165663,69.83677432476131,-252.6322971750341,647.9249123165663,-0.9632221369586712,0.989344455277832,0.4309862042294626,70.16443918762192,-44.84223274856856,115.00667193619049,-2.199559500264241,1.405742854887304,-3.6053023551515446,4.471024441629676,256.17083060521594,-8.095346172729496,-460.1122944132569,-0.03134863651347016,0.04333333333333333,2.0941676302243883,844.6268800487151,-532.8997080758471,1377.526588124562,17.53505114825201,-45.34611191764054
0.03606351463383798+0i,0.09157742776196187,0.2865000935189027,0.4051408430445944,-5.440815035814839e-05,5.394086586096858e-05,920.47019760057,-67.88334674465257,-258.3998723268141,29.86869246336947,-62.85561172845247,644.8234053885548,69.88530303672897,-258.3998723268141,644.8234053885548,-0.9611937075373717,0.9895424493942492,0.4198110205730156,68.59017711845895,-45.86597733800951,114.45615445646852,-2.040453255965624,1.3644429381740273,-3.404896194139652,4.470774533827134,256.1565119428629,-8.095596080532037,-460.1266130756099,-0.029748476264198163,0.04666666666666667,1.7487575281812098,914.3367149843164,-577.9213396849802,1492.2580546692968,18.965349903274365,-48.99072579629222
0.03682547471275341+0i,0.1350650445002657,0.2865083314368854,0.4051569526119725,-8.780972910388263e-05,8.625246759963456e-05,909.2768084219687,-66.18956343770336,-248.49640437002117,29.29148899520157,-60.491791897648866,643.9713933144402,68.78462163022388,-248.49640437002117,643.9713933144402,-0.9601005091799546,0.9900345035003578,0.4349335485975473,70.19681053763438,-44.10811177567876,114.3049223133131,-1.907089587937666,1.198318272108528,-3.1054078600461934,4.470923008385976,256.1650189084496,-8.095447605973195,-460.1181061100232,-0.02716775268464975,0.05,1.325827313453542,983.7140231373568,-623.2754447282692,1606.989467865626,20.35044279980503,-52.495825070937826
0.0409288033442002+0i,0.1251380476535928,0.2865227762206716,0.4051899738961271,-8.008343414170338e-05,0.0001112535658815972,922.1620663191001,-67.76603002272812,-258.4270709451982,29.899761719520093,-56.54829851209508,647.4905631676354,66.31818986852116,-258.4270709451982,647.4905631676354,-0.9612948807330436,0.9910623277876444,0.4219035963769602,69.05876986948259,-45.870805092772684,114.9295749622553,-1.6177502420983192,1.074555862844445,-2.6923061049427655,4.470651881564738,256.1494844858799,-8.095718732794435,-460.13364053259284,-0.02342570313887406,0.05333333333333334,0.8898911701944149,1053.107516965403,-668.2624892851134,1721.370006250517,21.631823404946307,-55.75097709803074
0.0416044362841733+0i,0.12000988210022001,0.2865347231915152,0.4052649590823097,-7.947671727881467e-05,0.00010314482768875027,915.3981871052797,-64.33831163494712,-255.35792089408366,32.49311903462839,-60.608549389918316,644.0656763507617,63.934342806826564,-255.35792089408366,644.0656763507617,-0.9623966300054088,0.9907746082523972,0.4246324287421521,68.99562659356032,-45.32603095869985,114.3216575522602,-1.2807035178235329,0.8413461861828104,-2.122049704006343,4.470512962904793,256.1415250329694,-8.095857651454379,-460.1415999855034,-0.0185620970640343,0.05666666666666665,0.5226495807707079,1122.735307168962,-713.2519477193391,1835.987254888301,22.768260472422792,-58.64983408052522
0.03791702985474739+0i,0.1229375311739318,0.2865406412508203,0.4051820954665942,-5.248308425109816e-05,9.483747582850201e-05,916.6139263145875,-66.54628181132863,-259.77121061293684,30.24742016340941,-60.97194992791788,640.483706466769,65.9828844883222,-259.77121061293684,640.483706466769,-0.9626148849780928,0.9903050247471012,0.4153466196881339,67.57646801405521,-46.10938988379629,113.6858578978515,-0.8902270484741848,0.6074278113301198,-1.497654859804305,4.470699093575384,256.1521895348322,-8.095671520783789,-460.1309354836406,-0.01317362500048133,0.06,0.2452315859399727,1191.762505400483,-758.8503657450754,1950.612871145559,23.726211496936426,-61.05701198499978
0.0401909563166748+0i,0.1064493613827437,0.2865426919597019,0.4052568794176666,-6.648236725539935e-05,6.993729669879656e-05,910.9590629341474,-65.64611505383536,-250.9311945568709,28.124794681927327,-60.38260352752039,644.084917032858,63.9543020012709,-250.9311945568709,644.084917032858,-0.9618043326329084,0.9908042064439584,0.4315822065699213,69.78478573948772,-44.54028703384458,114.3250727733323,-0.5686467062552875,0.3629399624727821,-0.9315866687280696,4.4703217640028825,256.13057014284243,-8.09604885035629,-460.15255487563036,-0.00814857708925398,0.06333333333333334,-0.04771953353773559,1260.0485527042908,-804.5680761663234,2064.616628870614,24.450598495692876,-62.8668642669051
0.04038009402925655+0i,0.1393391331168914,0.2865466588446616,0.4053099727079587,-7.248648894447873e-05,0.0001290308476875612,917.3349123076497,-63.8930599450677,-254.6883705774102,27.446514812537732,-62.486464889526914,647.1866690042655,63.851473658070965,-254.6883705774102,647.1866690042655,-0.9646885345626118,0.9906061025960546,0.4278680481477432,69.66844797076679,-45.207185777490324,114.8756337482571,-0.2960148588662205,0.1920811946790885,-0.48809605354530894,4.4706579757498774,256.14983365696787,-8.095712638609296,-460.1332913615049,-0.004248908472748376,0.06666666666666668,-0.5003729596721013,1328.729179581062,-849.8929146251437,2178.622094206206,24.93578238259433,-64.08148503117128
