Impulsion,ImpulsionPAr,ImpulsionPAv,TravailPAr,TravailPAv
87529.69867033363,25222.45303358809,62307.24563674553,208030.8334181268,162634.6929862193
87698.71896672745,25383.17459970917,62315.544367018265,209674.9151423763,162719.5654263084
87856.68437054766,25531.79288305417,62324.89148749348,211170.5347428854,162813.487943538
88005.38033001701,25669.42104292094,62335.959287096055,212528.3557516616,162922.5802215115
88145.47058162556,25797.93312658615,62347.537455039404,213772.7122053935,163034.66557706302
88274.32961988717,25914.49685064254,62359.832769244626,214887.0924058642,163152.1462131102
88392.57921730525,26019.30675537332,62373.272461931905,215884.919515991,163280.0999214504
88501.69157694504,26114.00915461499,62387.682422330035,216789.3589204103,163417.7625233994
88599.77198808832,26196.87728258962,62402.89470549867,217585.1646680402,163563.8823771238
88689.27707183301,26270.340895052643,62418.93617678035,218293.97053464717,163718.6830603101
88774.99054932852,26338.062940059044,62436.92760926946,218950.3330719895,163893.104216898
88855.7865516085,26399.66105425599,62456.12549735247,219550.86102973,164080.3024453637
88930.80842717693,26455.29983608412,62475.508591092774,220096.93081209762,164270.57238079212
89002.21053081023,26506.6905746682,62495.519956141994,220604.0847184892,164468.08078763902
89071.16793534774,26555.013048277004,62516.154887070705,221082.54593005538,164672.4037085679
89136.9761663384,26600.39710000905,62536.57906632932,221532.8002045375,164875.03475118912
89198.63125534027,26642.360925803634,62556.27032953662,221950.60773820578,165071.1015939281
89257.02903681465,26681.739962603657,62575.289074210974,222346.0871238208,165262.108467817
89312.89473793867,26720.73216155916,62592.162576379495,222743.5021841868,165433.9126312263
89364.95595757908,26758.97010561849,62605.98585196058,223139.76274558052,165577.0913552292
89410.72893383174,26792.665781092128,62618.06315273957,223493.8833250025,165704.0596541262
89450.90925695347,26821.25008771192,62629.659169241524,223796.8711085318,165826.9930472864
89485.1995791841,26845.51588040389,62639.68369878019,224054.6111909372,165933.4716226255
89514.68168441976,26864.27507112832,62650.40661329142,224253.47004928422,166047.0674983406
89538.04308371617,26873.77899011111,62664.26409360505,224353.9810844066,166193.5216091461
89553.13318115957,26873.693359950117,62679.439821209424,224352.9916512627,166354.1523541448
89563.33152894539,26868.540633335982,62694.7908956094,224297.77874953038,166518.2156817472
89570.71568317142,26859.05513730741,62711.660545864004,224193.94263940142,166702.4818201029
89580.93365077715,26846.137037261167,62734.79661351597,224048.6796511684,166963.2104604461
89596.95538696842,26830.884548900507,62766.0708380679,223870.9971066385,167327.6449731909
89617.34804055869,26813.01466491933,62804.33337563935,223655.7287632503,167788.7699851073
89646.99454005595,26794.445762675685,62852.54877738025,223426.26989652077,168385.55656415
89690.90103185318,26776.46087758021,62914.44015427295,223201.69210395488,169158.3845047415
