alphaGait,DeplacementRider,DistanceAligne,DistanceEngage,DistanceFWGait,DistanceFWRButte,ForcePied,ForcePiedAr,ForcePiedAr,ForcePiedAr,ForcePiedAv,ForcePiedAv,ForcePiedAv,ForceUPiedAr,ForceUPiedAv,IndiceEfficacitePiedAr,IndiceEfficacitePiedAv,IndiceEfficaciteTotal,Moment,MomentPAr,MomentPAv,Puissance,PuissancePAr,PuissancePAv,ThetaM,ThetaMDeg,ThetaMr,ThetaMrDeg,ThetaMrv,Time,VitesseRider
NaN+0i,-1.89815834721054,,,,,296.34372834794885,-27.55657707421402,-162.90406587269982,-6.346514934613509,2.350619950588554,129.73013060237872,-18.06918102019593,-162.90406587269982,129.73013060237872,-0.9852659993906298,0.9902795799472388,-0.1119441111686708,-5.888373510482005,-28.915471692404218,23.027098181922213,-25.41345892546432,-124.79543813877198,99.38197921330769,4.4233986377605845,253.4420730475992,4.4233986377605845,253.4420730475992,4.3158707375178125,0.003333333333333334,0.2580740337020213
NaN+0i,-1.899662497088627,,,,,263.2962909479147,-26.21171348700214,-148.54581089413432,-4.391067413310142,9.167013606030148,108.58293579363328,-27.52467641428745,-148.54581089413432,108.58293579363328,-0.9843691120358804,0.9661116312825234,-0.1517791039008844,-7.0934103303389335,-26.366881433708855,19.27347110336991,-20.422083239903017,-75.91082742144523,55.488744181542216,4.437749062321314,254.26429180914982,4.437749062321314,254.26429180914982,2.879021837007873,0.006666666666666667,16.834265431875902
NaN+0i,-1.9257177066388067,,,,,234.03744371747032,-24.009521510998322,-128.9706333362731,-2.9863160189124223,11.946976670560222,99.10434787950571,-24.63610529370607,-128.9706333362731,99.10434787950571,-0.9828548801527696,0.9638904862133392,-0.1276132783813088,-5.301265668576218,-22.89228741718848,17.59102174861226,-8.624832896199415,-37.244342375704214,28.61950947950479,4.435999184047169,254.1640311693798,4.435999184047169,254.1640311693798,1.626938439875589,0.01,30.003401660580764
NaN+0i,-1.5050166211263438,,,,,222.8076250877248,-23.660042813541697,-122.25669853920441,-7.063430948208119,17.781898288487174,91.558445017915,-30.348079731788395,-122.25669853920441,91.558445017915,-0.9802080216412828,0.9334852723871992,-0.13777918735592098,-5.448940000028873,-21.70056399070879,16.25162399067991,-3.6846045758584585,-14.674046214208849,10.98944163835039,4.436208715312573,254.17603642656343,4.436208715312573,254.17603642656343,0.6762057530159872,0.013333333333333329,36.91915790040082
NaN+0i,-1.332393206232325,,,,,203.236545691015,-24.22564937083002,-111.52089615492208,-9.259814059476419,15.915877327460711,81.78119094848535,-30.54912687847715,-111.52089615492208,81.78119094848535,-0.9740081295658132,0.921585565026202,-0.1463304992973592,-5.278797674142528,-19.79495906749868,14.516161393356152,-0.2153352769000831,-0.8074855781848156,0.5921503012847323,4.435843006134703,254.15508283414218,4.435843006134703,254.15508283414218,0.04079248537121884,0.01666666666666667,36.67896413445171
NaN+0i,-1.261217045070964,,,,,186.7516653180769,-24.8329815549675,-105.049627787084,-7.314629395104271,14.761732755644731,73.12715847015781,-24.618308141858698,-105.049627787084,73.12715847015781,-0.9709516052580042,0.9308539192037386,-0.17093539306627098,-5.666238303754393,-18.646308932207397,12.980070628453008,1.895484918902173,6.237612235752875,-4.3421273168507035,4.4365717005411325,254.1968339481855,4.4365717005411325,254.1968339481855,-0.3345226263509327,0.02,30.8121524133528
NaN+0i,-1.19432673618283,,,,,185.92531851048852,-27.96543235019382,-107.16947246926969,-15.08559332578909,14.278193786859902,69.18850441300721,-22.50557454632284,-107.16947246926969,69.18850441300721,-0.958747111823908,0.9331567641281054,-0.2042807744557925,-6.7416218299865935,-19.022581363295373,12.28095953330878,3.50626766597167,9.893503913370726,-6.387236247399052,4.435715832037782,254.1477962951252,4.435715832037782,254.1477962951252,-0.5200926059625393,0.02333333333333333,21.897714802521143
NaN+0i,-1.1803826964709572,,,,,166.66990526893352,-28.63170665363501,-100.7093345605237,-13.19782446581126,8.781565527365267,57.421526139555475,-19.07583308374106,-100.7093345605237,57.421526139555475,-0.9543303459550728,0.9391639922361872,-0.2597218037120758,-7.683585994721856,-17.87590688449295,10.1923208897711,4.386518882290684,10.20526133770914,-5.818742455418455,4.435680405871959,254.14576652533933,4.435680405871959,254.14576652533933,-0.5708947469715245,0.02666666666666667,12.128278275147789
NaN+0i,-1.174866542690069,,,,,160.3653801161331,-25.04401086516132,-100.3984691345546,-12.06144701733845,4.181578501794363,50.456915537173735,-24.370419703657213,-100.3984691345546,50.456915537173735,-0.9637436320211172,0.8979714890335703,-0.3114235351870479,-8.86462576353511,-17.82072827138345,8.956102507848337,4.6822396121098535,9.412796665613806,-4.730557053503955,4.430744718087387,253.86297244628892,4.430744718087387,253.86297244628892,-0.5281937147725265,0.03,2.9141754118356715
NaN+0i,-1.1848342165634451,,,,,160.6576061358146,-24.3164606349048,-95.27707413121507,-15.055819622698221,3.4250824763546635,57.13766370844354,-21.601235160523963,-95.27707413121507,57.13766370844354,-0.957779190487466,0.9339190812723086,-0.2373956100810425,-6.7697453500419495,-16.91168065829068,10.141935308248732,2.944661858848149,7.3561379975954235,-4.411476138747275,4.43061111751975,253.85531769762292,4.43061111751975,253.85531769762292,-0.4349737998387048,0.03333333333333333,-4.9736341046594035
