Alignement,AlphaGaitDmin,BasDeButte,BasDeButte2,Bip,c3d,CGR18,CGR28,ChuteGrille,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,DebutOrdre,DistanceDmin,DistanceRecul,Dmin,Engagement,EngagementDmin,FinMarkerVisible,FinOrdre,FinSignalSensix,FinSignalSonore,ForceGuidonMax,ForceUDepart,ForceUPiedArMax,ForceUPiedAvMax,Franchissement,GaitDown,HauteurFWDmin,HauteurFWRecul,ImpulsionParCoups,ImpulsionParCoupsPAr,ImpulsionParCoupsPAv,longueurManivelle,MasseRider,MoyennePuissanceBasDeButte,MoyennePuissanceButteTotale,MoyennePuissancePremCassure,PDenHaut,PGenHaut,PGenHaut,PourcFuPremCassure,PremCassure,PuissanceMaxBasDeButte,PuissanceMaxPremCassure,Rate,RateForceDeveloppement,Recul,TailleRider,ThetaManivelleDepart,ThetaManivelleRecul,TimeToPeak,TpsBasDeButte,TpsDmin,TpsPassageGrille,TpsPremCassure,TpsReaction,TpsRecul,TpsTroism,TravailParCoups,TravailParCoupsPAr,TravailParCoupsPAv,Troism,VitesseBasDeButte,VitessePassageGrille,VitessePremCassure,VitesseTroism,VMaxBasDeButte,VMaxPremCassure
4965.0,49.36363530108333,5648.0,5667.0,4816.0,5.0878833648e-313,5044.0,5331.0,4924.0,5062.0,5187.0,5278.0,5358.0,3128.0,12.714129352089788,12.31936089813648,4992.0,4962.0,7.9996010819063414,5371.0,4718.0,6455.0,5599.0,,711.128835995746,2034.333458097128,4898.0,5041.0,5027.0,19.02476271781386,12.253634819899618,49980.95862431187,-3034.7231882862848,53015.68181259814,177.5,100.7,,1211.5418506852432,1096.947198185841,5187.0,5062.0,5278.0,55.94854683019803,5296.0,,3321.576355062224,300.0,8449.972105370067,4932.0,187.0,75.7413590057815,70.95892564563792,0.1266666666666667,2.413333333333334,0.2266666666666667,0.39,1.24,4860.0,0.02666666666666667,0.8266666666666667,127754.0646917093,5608.5578775514,122145.5068141579,5172.0,12.8,4.964876937906903,8.368265496074457,7.5761580893396125,,112.3940013055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31475.756068764917,29158.77079835963,2316.98527040528,,,,,,5358.0,,,,,,,,,,,,,,,,,,,,,221640.0306177063,204854.16082095448,16785.86979675175,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15822.435208704319,-6.611619113371979,15829.04682781769,,,,,,,,,,,,,,,,,,,,,,,,,,,160039.6126094193,-101.9064089502318,160141.5190183695,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14691.356022747368,12279.133712490711,2412.222310256656,,,,,,,,,,,,,,,,,,,,,,,,,,,150151.2748616518,127689.34098873119,22461.93387292064,,,,,,,
