Impulsion,ImpulsionPAr,ImpulsionPAv,Travail,TravailPAr,TravailPAv
0.0,0.0,0.0,0.0,0.0,0.0
81.7495596359635,-38.03587011403479,119.7854297499983,-1.165146032849044,0.5388460751830838,-1.7039921080321283
163.7249868336969,-76.37901963843369,240.10400647213052,-2.9974850999355067,1.3985591908407828,-4.39604429077629
245.92979300191482,-115.0613095671167,360.9911025690316,-5.158622755088746,2.415009338198774,-7.573632093287519
329.4504497182859,-153.08622846167708,482.536678179963,-7.284128939305803,3.383743824539795,-10.6678727638456
412.40152630243966,-191.1075418593186,603.5090681617583,-9.018776027971473,4.176141422522347,-13.19491745049382
493.618066448972,-229.93900827122607,723.5570747201981,-10.28577271661603,4.7802833310499455,-15.06605604766597
574.7891233965987,-268.7721235052143,843.5612469018131,-11.350382890030511,5.289717532388738,-16.64010042241925
656.7248198968198,-307.134232224245,963.8590521210648,-12.540343363898051,5.8466253517791,-18.38696871567715
739.3225343247258,-344.8457825145773,1084.168316839303,-13.98004666456249,6.502861898488418,-20.48290856305091
821.9996581482826,-382.8105124379466,1204.8101705862289,-15.49240598916759,7.196837121900949,-22.68924311106854
904.3542103966762,-421.6621647388699,1326.016375135546,-16.77939707327807,7.803971796369304,-24.58336886964737
986.3556812144648,-460.80584292786733,1447.161524142332,-17.64809245180376,8.21735517001367,-25.86544762181743
1068.463287053195,-499.6007239338998,1568.0640109870951,-18.04312901155892,8.406472387060264,-26.44960139861918
1151.479382852711,-537.5013826057593,1688.98076545847,-17.951239787790662,8.365923201032226,-26.31716298882288
1234.135798641945,-575.1635271907784,1809.299325832724,-17.3329968185628,8.082888866056463,-25.41588568461925
1315.585453546287,-613.1734392296072,1928.758892775895,-16.12874237004781,7.518924258547832,-23.647666628595637
1396.736571570181,-651.7867761921501,2048.523347762331,-14.313282208373241,6.654236644713492,-20.96751885308673
1478.040538821666,-690.6198002883017,2168.660339109968,-12.00201373829349,5.550510670226749,-17.55252440852023
1559.96850830725,-729.1556497978193,2289.124158105069,-9.46647092081892,4.357968574942778,-13.8244394957617
1642.1290342401692,-767.9986369314123,2410.127671171581,-7.086012425257522,3.2340726097164865,-10.32008503497401
1724.228980959817,-806.8885208978118,2531.117501857629,-5.2090223833281675,2.342475038455887,-7.5514974217840525
1805.667144820657,-845.5617459774066,2651.2288907980633,-4.069049389291013,1.8047518599509098,-5.873801249241923
1886.4877227089498,-884.2365191550696,2770.724241864019,-3.768819653425101,1.658814575677237,-5.427634229102337
1967.956267071727,-922.6070022422103,2890.563269313937,-4.2809690613884515,1.899182838137739,-6.180151899526187
2049.1982942034947,-961.4984115828223,3010.696705786317,-5.489754546761118,2.480979837429981,-7.970734384191098
2130.748632982799,-1000.36767518711,3131.116308169909,-7.262794433687253,3.3232017641067015,-10.585996197793948
2212.679989611221,-1038.591282453938,3251.271272065158,-9.437478232597341,4.3380401581419346,-13.775518390739268
