Alignement,AlphaGaitDmin,BasDeButte,BasDeButte2,Bip,c3d,CGR18,CGR28,ChuteGrille,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,DebutOrdre,DistanceDmin,DistanceRecul,Dmin,Engagement,EngagementDmin,FinMarkerVisible,FinOrdre,FinSignalSensix,FinSignalSonore,ForceGuidonMax,ForceUDepart,ForceUPiedArMax,ForceUPiedAvMax,Franchissement,GaitDown,HauteurFWDmin,HauteurFWRecul,ImpulsionParCoups,ImpulsionParCoupsPAr,ImpulsionParCoupsPAv,longueurManivelle,MasseRider,MoyennePuissanceBasDeButte,MoyennePuissanceButteTotale,MoyennePuissancePremCassure,PDenHaut,PGenHaut,PGenHaut,PourcFuPremCassure,PremCassure,PuissanceMaxBasDeButte,PuissanceMaxPremCassure,Rate,RateForceDeveloppement,Recul,TailleRider,ThetaManivelleDepart,ThetaManivelleRecul,TimeToPeak,TpsBasDeButte,TpsDmin,TpsPassageGrille,TpsPremCassure,TpsReaction,TpsRecul,TpsTroism,TravailParCoups,TravailParCoupsPAr,TravailParCoupsPAv,Troism,VitesseBasDeButte,VitessePassageGrille,VitessePremCassure,VitesseTroism,VMaxBasDeButte,VMaxPremCassure
11968.0,2.8631674289877216,12619.0,12638.0,11765.0,5.55872238464e-313,12016.0,12303.0,11873.0,12036.0,12149.0,12240.0,12317.0,10096.0,10.700819051840961,9.065316367318335,11970.0,11956.0,13.653940421644249,12343.0,11686.0,13445.0,12548.0,,577.7062707103278,1441.562272800507,11977.0,12017.0,11975.0,9.940418624132514,4.092631417392445,57613.248497599656,-3836.397032421537,61449.645530021204,180.0,83.19999999999997,,1138.1637176611991,1042.191928354845,12036.0,12149.0,12317.0,64.13904550666578,12268.0,,3285.0361906803023,300.0,4175.986254451096,11910.0,181.0,74.89870633364767,74.59075454924948,0.3933333333333333,2.486666666666665,0.3233333333333333,0.48,1.316666666666667,11859.0,0.1233333333333333,0.9033333333333332,174111.5474557797,10697.36807496516,163414.1793808146,12144.0,12.631578947368569,4.283678787829417,7.393691863538861,7.393362318850008,,135.97512491638858
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19539.920818473132,17989.03584573837,1550.884972734762,,,,,,12240.0,,,,,,,,,,,,,,,,,,,,,159553.0856640326,148275.2120548895,11277.873609143071,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14769.192879081951,629.5421136230598,14139.650765458891,,,,,,,,,,,,,,,,,,,,,,,,,,,150767.37680339368,6693.644632730311,144073.7321706633,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9517.570649587193,8370.01214868924,1147.558500897953,,,,,,,,,,,,,,,,,,,,,,,,,,,115720.42802684939,101697.36983375839,14023.05819309105,,,,,,,
