alphaGait,DeplacementRider,DistanceAligne,DistanceEngage,DistanceFWGait,DistanceFWRButte,ForcePied,ForcePiedAr,ForcePiedAr.1,ForcePiedAr.2,ForcePiedAv,ForcePiedAv.1,ForcePiedAv.2,ForceUPiedAr,ForceUPiedAv,IndiceEfficacitePiedAr,IndiceEfficacitePiedAv,IndiceEfficaciteTotal,Moment,MomentPAr,MomentPAv,Puissance,PuissancePAr,PuissancePAv,ThetaM,ThetaMDeg,ThetaMr,ThetaMrDeg,ThetaMrv,Time,VitesseRider,Impulsion,ImpulsionPAr,ImpulsionPAv,Travail,TravailPAr,TravailPAv
0.01512409757780558,-0.03822837241133925,0.2817311714083742,0.3928101708149168,9.458846916193808e-06,7.834747779267293e-06,921.6307056381676,-73.86705240915288,-257.3524831703699,29.017241263152012,-22.36750273733951,645.8105429928264,89.15651669285461,-257.3524831703699,645.8105429928264,-0.9555943848696228,0.9900221559231298,0.4214899280655751,68.95130561848603,-45.68006576274066,114.63137138122671,-3.1746695083488734,2.1032105282929416,-5.277880036641816,4.43663591018872,254.2005128899962,-8.129734704170453,-462.0826121284766,-0.0460421957187383,0.003333333333333334,-0.08991094995397572,0.0,0.0,0.0,0.0,0.0,0.0
0.01707523930877529,-0.02171679579339525,0.2817504376438476,0.3927697551481897,9.650518732473579e-06,1.582819921253087e-05,920.4179297677797,-69.83474287643807,-254.0586125768261,26.50993359141384,-18.150841288554734,648.9567757846711,91.34910279536938,-254.0586125768261,648.9567757846711,-0.9593920210590656,0.9898581479491746,0.4290422322688537,70.09442396939251,-45.095403732386615,115.1898277017791,-0.2617875488916221,0.1684216024734658,-0.4302091513650879,4.436649907769001,254.20131489226986,-8.12972070659017,-462.081810126203,-0.0037347842248612313,0.006666666666666667,-0.07335391682707547,69.489084667982,-45.73149668956871,115.2205813575507,-4.540999691594094,2.982684579343932,-7.523684270938027
0.01575455379001432,-0.02718489424583481,0.2817375457531151,0.3927413088696891,1.752559870651926e-05,-4.890044630501134e-06,925.2344527607573,-73.76407327642411,-254.52160783779652,24.85125907117061,-20.327032992799328,652.3113574000907,91.97143063932943,-254.52160783779652,652.3113574000907,-0.9562808662374052,0.9897351860912008,0.4299340003772566,70.60768054730724,-45.177585391208886,115.7852659385161,3.3269940318445115,-2.1287423096838998,5.455736341528412,4.436299323001302,254.181227864719,-8.13007129135787,-462.10189715375367,0.04711943525202505,0.01,0.1143416655347893,139.0119494619213,-91.11923143713236,230.13118089905362,-6.259228220214343,4.118500644727137,-10.37772886494148
0.014332054314118868,-0.0206768600917826,0.2817344098913008,0.3927435567832741,6.6911073876574365e-06,8.916344493847816e-07,922.2869736841903,-70.22202872979955,-254.73925679400656,31.5429567850207,-21.634213393420463,649.3071497300233,92.14885280797985,-254.73925679400656,649.3071497300233,-0.9572458573225424,0.9895408690756196,0.4278146652769755,70.03580099614295,-45.21621808093617,115.25201907707908,7.546087082217108,-4.871872875217848,12.417959957434961,4.436129445997726,254.17149462937786,-8.130241168361447,-462.111630389095,0.1077461380449221,0.013333333333333329,0.4313157908031403,209.36300172027111,-136.2557259989301,345.6187277192012,-4.726624978737899,3.13834029112192,-7.864965269859817
0.012536125615598559,-0.03993291850423475,0.2817525608831048,0.3927664600582513,1.731402693630479e-05,1.565893091898252e-05,922.7172209236224,-73.74278631377744,-254.5255579002148,24.873967965609808,-18.592337492863837,649.4452410926899,94.58055876152376,-254.5255579002148,649.4452410926899,-0.9562957072921316,0.989164448131333,0.4279964373019592,70.09824376666434,-45.178286527288115,115.2765302939525,11.950738164385367,-7.702245362956713,19.65298352734209,4.436267330488842,254.17939482877892,-8.13010328387033,-462.1037301896937,0.1704855574437176,0.01666666666666667,0.80177260890043,279.6847424919962,-181.4526277350026,461.1373702269988,0.7099155782929119,-0.361967301328955,1.0718828796218658
0.01278855814274491,-0.02739326372071105,0.2817759042801481,0.3928225106653975,-1.4798429763235308e-05,-1.3865299977822147e-05,927.6005045483839,-73.70986833892634,-259.8899038157008,27.864831909833626,-24.372688181032768,648.7392503378865,94.41572679748413,-259.8899038157008,648.7392503378865,-0.9569769122962188,0.9888916025008012,0.4191991537472294,69.02075900768794,-46.130457927286905,115.1512169349748,15.212551844194222,-10.167404602680561,25.37995644687478,4.436145248691963,254.17240005706242,-8.13022536566721,-462.11072496141037,0.2204054557339735,0.02,1.069582940200034,349.7517648733999,-226.6498800391148,576.4016449125146,10.45832820159415,-6.649026420416236,17.10735462201039
0.016766348102333392,0.02045470600307908,0.2811506766100664,0.3926845048377857,3.886200435426757e-06,-2.265278316238017e-05,918.7351445146708,-67.15360297564936,-259.21281440882444,30.68745448985683,-30.088450146935877,642.3206481256011,89.4168360263127,-259.21281440882444,642.3206481256011,-0.9617467986792808,0.9893847236017168,0.4169948608193895,68.00164048472787,-46.01027455756632,114.01191504229419,17.20462621060253,-11.64074234044255,28.845368551045087,4.443405095726387,254.5883586520455,-8.122965518632785,-461.6947663664273,0.2530031053363547,0.02333333333333333,1.134805341515488,419.3112662605761,-272.3042522664024,691.6155185269783,24.03997320588395,-15.583851403234869,39.62382460911883
0.01874638786282665,-0.03180466767713597,0.2816925209657613,0.3927662746669201,1.0634206618787e-05,-3.952027325887508e-05,918.6137801546953,-69.76703123255434,-252.09924553562087,27.54822337283508,-23.465871947958146,649.411408962298,86.69056780364443,-252.09924553562087,649.411408962298,-0.9584734709005632,0.9905722626669008,0.4325127404030119,70.52290900823519,-44.7476160825727,115.27052509080791,19.85400207267731,-12.59759807053653,32.45160014321385,4.437086746743602,254.2263439218412,-8.12928386761557,-462.0567810966317,0.281525568809972,0.02666666666666667,1.065405309549468,487.822466006784,-318.37461850882886,806.1970845156128,40.24856223328233,-26.48792487479643,66.73648710807876
0.01444248460102515,-0.004864671094935602,0.2817492277121645,0.392752674151981,5.109244687162562e-06,-3.0116455050133162e-05,922.4144379559192,-70.11903511037414,-254.877823893148,31.543705246130948,-21.5829521556281,649.0282038789695,94.25762595574186,-254.877823893148,649.0282038789695,-0.9573866888747784,0.9890827830511376,0.4273029169613425,69.96169244748332,-45.24081374103378,115.20250618851708,21.47067287251625,-13.884036796984553,35.354709669500814,4.4364949244068566,254.19243499972407,-8.129875689952316,-462.0906900187487,0.3068918449712061,0.03,0.9504959072986184,557.0847407532656,-363.75356382889845,920.8383045821637,58.77787637492224,-38.607095080285966,97.38497145520823
0.009948272643620923,0.009154060203059087,0.2811413279984417,0.3927541943393813,4.3139990277552e-06,-4.215554707176494e-05,930.8621593669992,-70.72761978196989,-265.1259378280334,32.16699667112298,-29.831299149220648,648.2009793262772,86.1833271074698,-265.1259378280334,648.2009793262772,-0.9596387749475248,0.9902466931671552,0.4115271392691918,67.99581986593826,-47.05985396447593,115.0556738304142,20.668069859258804,-14.30435505038358,34.97242490964238,4.443872660681311,254.61514815061093,-8.122497953677861,-461.6679768678618,0.3039608890665386,0.03333333333333333,0.8160830974007541,627.3270414811249,-408.7477787407017,1036.074820221826,79.44021384751903,-51.8479125140465,131.2881263615656
