Alignement,AlphaGaitDmin,BasDeButte,BasDeButte2,Bip,c3d,CGR18,CGR28,ChuteGrille,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,DebutOrdre,DistanceDmin,DistanceRecul,Dmin,Engagement,EngagementDmin,FinMarkerVisible,FinOrdre,FinSignalSensix,FinSignalSonore,ForceGuidonMax,ForceUDepart,ForceUPiedArMax,ForceUPiedAvMax,Franchissement,GaitDown,HauteurFWDmin,HauteurFWRecul,ImpulsionParCoups,ImpulsionParCoupsPAr,ImpulsionParCoupsPAv,longueurManivelle,MasseRider,MoyennePuissanceBasDeButte,MoyennePuissanceButteTotale,MoyennePuissancePremCassure,PDenHaut,PGenHaut,PGenHaut,PourcFuPremCassure,PremCassure,PuissanceMaxBasDeButte,PuissanceMaxPremCassure,Rate,RateForceDeveloppement,Recul,TailleRider,ThetaManivelleDepart,ThetaManivelleRecul,TimeToPeak,TpsBasDeButte,TpsDmin,TpsPassageGrille,TpsPremCassure,TpsReaction,TpsRecul,TpsTroism,TravailParCoups,TravailParCoupsPAr,TravailParCoupsPAv,Troism,VitesseBasDeButte,VitessePassageGrille,VitessePremCassure,VitesseTroism,VMaxBasDeButte,VMaxPremCassure
5007.0,28.29565025751648,5670.0,5689.0,4843.0,5.09201196627e-313,5074.0,5356.0,4951.0,5093.0,5217.0,5309.0,5392.0,2839.0,12.94873897874794,14.36836640450049,5033.0,5001.0,7.714307280855562,5396.0,4429.0,6245.0,5626.0,,696.6377031221926,2124.850746166766,5036.0,5072.0,5055.0,15.789029009821892,9.609440290866317,55687.95129969753,-1341.774322921457,57029.725622618986,177.5,100.7,,1372.907796467886,1247.995874065596,5217.0,5093.0,5309.0,59.388099465397616,5322.0,,3513.343894883303,300.0,2871.60352921418,4961.0,187.0,74.1984233037413,67.62444074266793,0.4833333333333333,2.395833333333332,0.2733333333333333,0.4033333333333333,1.236666666666667,4891.0,0.03333333333333333,0.8366666666666667,156335.1810608293,14405.498553104768,141929.68250772462,5202.0,12.631578947368569,4.6694028456464745,8.887040387282248,7.157812323213602,,113.40327026043529
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35722.63500877083,30600.036678735385,5122.59833003543,,,,,,5392.0,,,,,,,,,,,,,,,,,,,,,261345.2013212227,224478.0468283948,36867.154492827874,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16655.74606066729,1026.870174355177,15628.87588631211,,,,,,,,,,,,,,,,,,,,,,,,,,,170190.8707981955,9945.820562466271,160245.0502357292,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16808.30627880021,14171.25950496686,2637.04677383335,,,,,,,,,,,,,,,,,,,,,,,,,,,164699.62587223618,138450.9086262846,26248.7172459516,,,,,,,
