alphaGait,DeplacementRider,DistanceAligne,DistanceEngage,DistanceFWGait,DistanceFWRButte,ForcePied,ForcePiedAr,ForcePiedAr.1,ForcePiedAr.2,ForcePiedAv,ForcePiedAv.1,ForcePiedAv.2,ForceUPiedAr,ForceUPiedAv,IndiceEfficacitePiedAr,IndiceEfficacitePiedAv,IndiceEfficaciteTotal,Moment,MomentPAr,MomentPAv,Puissance,PuissancePAr,PuissancePAv,ThetaM,ThetaMDeg,ThetaMr,ThetaMrDeg,ThetaMrv,Time,VitesseRider
0.01610253208292442+0i,-0.04341671562104922,0.2526578900983474,0.4333561975929164,1.110180783939207e-05,-2.65068714683514e-05,819.6369145874112,23.993999481201172,-175.5820007324219,0.1000000014901161,-489.0119934082031,414.7040100097656,39.93999862670898,-175.5820007324219,414.7040100097656,-0.99099999666214,0.6460000276565552,0.2917413857545849,43.04196166992188,-31.604760131835945,74.64672180175779,4.037994273467197,-2.965009852602508,7.003004126069706,6.10099983215332,79.56154119240892,4.530203505358424,259.5615411924089,0.09381529365305356,0.003333333333333334,-0.5712594190035678
0.00746267281718538+0i,-0.01351748445250678,0.2526531338689533,0.4333372990436934,-5.8805995607480455e-06,-3.7313248087533786e-05,823.5629022624388,23.63800048828125,-179.5659942626953,-2.992000102996826,-489.0119934082031,414.7040100097656,39.93999862670898,-179.5659942626953,414.7040100097656,-0.99099999666214,0.6460000276565552,0.2855131224355958,42.32484283447265,-32.32187896728516,74.64672180175779,3.851696414060998,-2.94139462728514,6.793091041346138,6.103000164031982,79.6761517666817,4.532203837237086,259.6761517666817,0.09100320653580493,0.006666666666666667,-0.8040326404510767
0.0153867945403731+0i,-0.0248463356259947,0.25269016169917696,0.4333675553130703,1.251771195201479e-05,5.192924881991523e-06,815.5412358854819,24.354999542236328,-175.5319976806641,0.1000000014901161,-485.5069885253906,412.4280090332031,40.5989990234375,-175.5319976806641,412.4280090332031,-0.99099999666214,0.6460000276565552,0.2904770487728029,42.64128204345703,-31.59575958251953,74.23704162597656,3.255035770644056,-2.4118723151184334,5.666908085762488,6.103000164031982,79.6761517666817,4.532203837237086,259.6761517666817,0.07633531673195823,0.01,-0.8999855653767785
0.008068881037733915+0i,-0.02643449275541343,0.2526655611886393,0.433340828145563,7.785191138698355e-06,-1.755761997601635e-05,824.7930721098886,20.66600036621094,-174.1029968261719,-5.138000011444092,-493.9289855957031,419.3580017089844,43.402000427246094,-174.1029968261719,419.3580017089844,-0.9929999709129332,0.6460000276565552,0.2973533764722708,44.14590087890625,-31.33853942871094,75.48444030761719,2.5589740833943333,-1.8165788581249955,4.375552941519328,6.10099983215332,79.56154119240892,4.530203505358424,259.5615411924089,0.057966289790159414,0.013333333333333329,-0.8374002386629043
0.02147158107055604+0i,-0.030096507677512818,0.2526770089111695,0.4332701232063281,4.919479030807139e-06,-9.227934324285147e-06,818.9327818038716,19.17600059509277,-171.1629943847656,-2.6770000457763667,-494.9949951171875,414.1080017089844,41.07500076293945,-171.1629943847656,414.1080017089844,-0.9940000176429749,0.6399999856948853,0.2966604985443143,43.73010131835937,-30.809338989257807,74.53944030761718,1.57305653716053,-1.108271662803114,2.681328199963644,6.103000164031982,79.6761517666817,4.532203837237086,259.6761517666817,0.03597193900166218,0.01666666666666667,-0.5725753846711559
0.01481678019411419+0i,-0.059843578467166474,0.2526866160939287,0.4333184455792496,2.5250317682801168e-05,8.29099300875269e-06,818.0217062487892,22.67799949645996,-172.3240051269531,-2.713000059127808,-496.135986328125,409.0660095214844,38.67499923706055,-172.3240051269531,409.0660095214844,-0.99099999666214,0.6349999904632568,0.2894079736345402,42.613560791015615,-31.018320922851558,73.63188171386719,0.3365775931466123,-0.2449941193805073,0.5815717125271196,6.103000164031982,79.6761517666817,4.532203837237086,259.6761517666817,0.007898368193102846,0.02,-0.1645759790450866
0.01288360882251531+0i,-0.021442224594835583,0.2526629031570587,0.4333210818521453,2.092825837110568e-05,-1.7745341892916325e-05,815.7819392043991,14.449999809265142,-174.9219970703125,-0.1330000013113022,-489.7120056152344,410.2380065917969,42.72000122070312,-174.9219970703125,410.2380065917969,-0.996999979019165,0.640999972820282,0.2884545467517693,42.35688171386719,-31.48595947265625,73.84284118652344,-0.7058112265322259,0.5246642995124886,-1.2304755260447142,6.105000019073486,79.79073502019787,4.53420369227859,259.7907350201979,-0.016663436919180742,0.02333333333333333,0.2197513354818316
0.01542838379925353+0i,-0.0244284067417766,0.252673125247445,0.4333648648218694,7.84502781006613e-06,1.123031169134037e-05,820.4726587441918,16.99300003051758,-168.8430023193359,0.1089999973773956,-498.4989929199219,416.3840026855469,40.415000915527344,-168.8430023193359,416.3840026855469,-0.9950000047683716,0.6399999856948853,0.3017053618155844,44.55738006591797,-30.39174041748047,74.94912048339843,-0.9262084714357915,0.6317491601773788,-1.5579576316131698,6.10099983215332,79.56154119240892,4.530203505358424,259.5615411924089,-0.02078687010020705,0.02666666666666667,0.4726694854300142
0.009466164712678299+0i,-0.03118110708462041,0.2526923983114647,0.4334558443429926,9.59100032454918e-06,1.100847276702677e-05,820.8892673079104,19.89299964904785,-167.1280059814453,0.4149999916553497,-498.3099975585938,419.6789855957031,37.665000915527344,-167.1280059814453,419.6789855957031,-0.9929999709129332,0.6430000066757202,0.3076553558100396,45.45917633056641,-30.083041076660162,75.54221740722656,-0.07922272061414003,0.05242638672354165,-0.1316491073376817,6.10099983215332,79.56154119240892,4.530203505358424,259.5615411924089,-0.0017427223062304199,0.03,0.6306470348503419
0.02221015440027682+0i,-0.02810478329746502,0.2526833494492386,0.433435092494485,6.098384308622641e-06,2.217166483547972e-05,816.6335554926949,16.068000793457028,-165.7740020751953,0.2919999957084656,-499.4410095214844,414.635009765625,35.26499938964844,-165.7740020751953,414.635009765625,-0.9950000047683716,0.6380000114440918,0.30474011999211303,44.79498138427734,-29.839320373535166,74.63430175781248,1.13868609268877,-0.7585139690794693,1.8972000617682392,6.103000164031982,79.6761517666817,4.532203837237086,259.6761517666817,0.0254199478937263,0.03333333333333333,0.7576953439815113
