Impulsion,ImpulsionPAr,ImpulsionPAv,Travail,TravailPAr,TravailPAv
0.0,0.0,0.0,0.0,0.0,0.0
33.61882996941004,-43.7082049518446,77.32703492125465,-0.1624495387942229,0.2111049427941174,-0.3735544815883403
66.43040292694117,-87.90631643198807,154.3367193589292,-0.2801360075552425,0.3686200459118909,-0.6487560534671335
99.83734159937087,-131.6207588762174,231.4581004755883,-0.3520054343971498,0.4644085102336375,-0.8164139446307874
134.326471087147,-174.57080714440306,308.89727823155016,-0.3897362369061411,0.5112149045145821,-0.9009511414207232
168.59523568116168,-218.2064415756906,386.8016772568523,-0.4065884681246644,0.532575363423587,-0.9391638315482516
202.4955234380583,-262.2684162624253,464.7639397004834,-0.4145872587933557,0.5429455407878135,-0.9575327995811695
236.6698504770436,-306.1816449841664,542.8514954612099,-0.4208876998223362,0.5510247738394808,-0.9719124736618172
271.30028080615466,-349.96220230912,621.2624831152747,-0.4338703781289024,0.5674634463880786,-1.001333824516981
305.9973482782605,-393.6748082847635,699.6721565630238,-0.4631825629647922,0.6043027570422498,-1.067485320007042
339.63911862249404,-437.794998816464,777.434117438958,-0.5094656516069868,0.6655144685747684,-1.1749801201817558
372.62011566380414,-482.25551525964534,854.8756309234494,-0.5633366200728035,0.7381317619201533,-1.301468381992957
405.81232713721334,-526.505246279413,932.3175734166265,-0.6076016048040344,0.7970165092926945,-1.4046181140967289
438.0759611473857,-571.3444252355267,1009.4203863829119,-0.6240357095510433,0.8190963413585745,-1.4431320509096182
470.0924753103423,-617.0770282509254,1087.169503561268,-0.6078396310267253,0.7960701015013849,-1.4039097325281102
502.7615541177704,-662.4850728907194,1165.24662700849,-0.5708584888348561,0.7448255248138621,-1.315684013648718
536.3218978196628,-706.675359103226,1242.997256922889,-0.5361679293430776,0.6988029993022726,-1.23497092864535
569.5628444690475,-750.8631773635353,1320.426021832583,-0.5258058270812226,0.6859284032155634,-1.2117342302967857
602.2019720026541,-795.6485025234717,1397.8504745261262,-0.5469602895134992,0.7147577524367488,-1.261718041950248
635.3747470975527,-839.9002873021449,1475.275034399698,-0.5901547632821867,0.7722077478035001,-1.362362511085687
668.4279849239318,-884.0576223119486,1552.485607235881,-0.6418692748406228,0.8413447449276175,-1.48321401976824
701.3091014318213,-928.7056949234843,1630.014796355306,-0.6977003648712861,0.9171430320123524,-1.6148433968836382
734.2947080547691,-973.1245406346657,1707.419248689435,-0.7599114965294216,1.000894307941335,-1.7608058044707557
766.6411938172001,-1017.8462406727521,1784.4874344899522,-0.8274429733060095,1.094389146712738,-1.921832120018747
798.9371958493207,-1062.617936602476,1861.555132451797,-0.8994421805846162,1.194140197070212,-2.0935823776548284
831.4477526216078,-1106.854301923501,1938.3020545451102,-0.973030782751676,1.2942648964801278,-2.2672956792318044
863.7948351294807,-1151.253547266201,2015.048382395682,-1.04466314881225,1.392588407286112,-2.437251556098362
897.1171244194034,-1195.324947834474,2092.442072253877,-1.118559235358926,1.49026236401199,-2.608821599370916
930.7373850721083,-1239.440972953166,2170.178358025275,-1.1991450824591952,1.596182882916025,-2.79532796537522
962.9919239171415,-1284.3876338203709,2247.379557737513,-1.286317324180519,1.7178966796321709,-3.00421400381269
995.1650476128734,-1329.003807585807,2324.168855198681,-1.3802941435567748,1.84813536463268,-3.228429508189455
1027.830693135189,-1373.324416129318,2401.155109264508,-1.474401844511855,1.97575813316228,-3.450159977674134
1060.1675555122251,-1418.53859450623,2478.706150018456,-1.560070831883175,2.095450795715478,-3.6555216275986515
1092.679423351213,-1464.0992216421482,2556.778644993361,-1.637556836873487,2.204103435625989,-3.841660272499475
1125.204258101669,-1509.407660281147,2634.6119183828173,-1.7098808861816868,2.304843482249551,-4.014724368431239
1156.92085612696,-1555.1613941949279,2712.082250321889,-1.7856206272527,2.414377327670464,-4.199997954923163
1188.127256537723,-1601.642834179197,2789.7700907169205,-1.8867187337974232,2.565047440226576,-4.451766174023998
1219.622419363746,-1648.4555226007778,2868.077941964524,-2.0476601857468792,2.803977348954485,-4.851637534701363
1251.371680915665,-1695.982739798999,2947.354420714664,-2.310426531352452,3.1984355118248122,-5.508862043177264
1283.189836963337,-1744.68394319299,3027.873780156328,-2.724448754682123,3.833538569866356,-6.5579873245484785
1315.330079439845,-1794.8063975758082,3110.136477015653,-3.348977710489089,4.808994772964986,-8.157972483454072
1348.856572090255,-1845.520188170206,3194.376760260462,-4.2651611767920175,6.186733737616589,-10.45189491440861
1383.8274041649302,-1896.8260935305511,3280.653497695482,-5.519142878092481,8.028059918870817,-13.547202796963301
1420.366827462982,-1949.650100068648,3370.0169275316302,-7.152428334711344,10.384430168452221,-17.53685850316357
1459.46681007392,-2003.507707663922,3462.974517737843,-9.224655708719768,13.23296460426023,-22.457620312979998
1500.1090077376098,-2058.840993912204,3558.950001649815,-11.69124954617867,16.59426784831994,-28.28551739449862
1541.831010198832,-2116.518445481188,3658.3494556800206,-14.550591883517908,20.547260430096923,-35.097852313614844
1585.3456271835198,-2176.649401388982,3761.9950285725017,-17.88030894069373,25.14817920962275,-43.02848815031648
1631.446859212302,-2238.966863071326,3870.413722283628,-21.76316888289545,30.39223535515386,-52.155404238049314
1681.090235831589,-2304.092409939872,3985.182645771461,-26.2782007557558,36.31338309366557,-62.59158384942139
1733.6689762822132,-2372.255088612228,4105.924064894441,-31.39039132469441,42.94026860661215,-74.33065993130656
1788.725012464621,-2443.7060525125908,4232.4310649772115,-37.17178784273923,50.4443491257888,-87.61613696852804
