Alignement,AlphaGaitDmin,BasDeButte,BasDeButte2,Bip,c3d,CGR18,CGR28,ChuteGrille,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,DebutOrdre,DistanceDmin,DistanceRecul,Dmin,Engagement,EngagementDmin,FinMarkerVisible,FinOrdre,FinSignalSensix,FinSignalSonore,ForceGuidonMax,ForceUDepart,ForceUPiedArMax,ForceUPiedAvMax,Franchissement,GaitDown,HauteurFWDmin,HauteurFWRecul,ImpulsionParCoups,ImpulsionParCoupsPAr,ImpulsionParCoupsPAv,longueurManivelle,MasseRider,MoyennePuissanceBasDeButte,MoyennePuissanceButteTotale,MoyennePuissancePremCassure,PDenHaut,PGenHaut,PGenHaut,PourcFuPremCassure,PremCassure,PuissanceMaxBasDeButte,PuissanceMaxPremCassure,Rate,RateForceDeveloppement,Recul,TailleRider,ThetaManivelleDepart,ThetaManivelleRecul,TimeToPeak,TpsBasDeButte,TpsDmin,TpsPassageGrille,TpsPremCassure,TpsReaction,TpsRecul,TpsTroism,TravailParCoups,TravailParCoupsPAr,TravailParCoupsPAv,Troism,VitesseBasDeButte,VitessePassageGrille,VitessePremCassure,VitesseTroism,VMaxBasDeButte,VMaxPremCassure
5944.0,26.538023578394434,6616.0,6635.0,5781.0,4.336770783e-313,6013.0,6297.0,5889.0,6037.0,6167.0,6256.0,6333.0,3542.0,14.882650043159368,14.169769031331949,5971.0,5939.0,6.157536571015309,6337.0,5132.0,7235.0,6564.0,,657.9605950677027,2042.742975843376,5972.0,6015.0,5992.0,16.445055618264448,11.801355917456949,56489.21602822411,-2784.9301884776696,59274.146216701774,177.5,100.7,,1348.39046793754,1248.52611969532,6167.0,6037.0,6256.0,61.34106558142575,6269.0,,3639.2390856868237,300.0,2961.626169480346,5900.0,187.0,73.84794294210045,67.30697370875251,0.49,2.423333333333336,0.2733333333333333,0.42,1.266666666666667,5825.0,0.03666666666666667,0.8566666666666667,157341.9970430318,9848.227988728228,147493.7690543036,6146.0,12.46753246753276,4.587678688282153,8.498660566018282,6.484673958243523,,117.5659651233202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35258.90391928317,29853.38565457337,5405.518264709806,,,,,,6333.0,,,,,,,,,,,,,,,,,,,,,243424.2890338779,205064.4974391075,38359.79159477043,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18511.137381529366,1704.9941887723542,16806.14319275702,,,,,,,,,,,,,,,,,,,,,,,,,,,197870.4597803821,17327.08750803064,180543.3722723514,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12264.95702706614,10087.40163947634,2177.555387589795,,,,,,,,,,,,,,,,,,,,,,,,,,,147655.208254881,121288.3128203925,26366.89543448842,,,,,,,
