Alignement,AlphaGaitDmin,BasDeButte,BasDeButte2,Bip,c3d,CGR18,CGR28,ChuteGrille,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,DebutOrdre,DistanceDmin,DistanceRecul,Dmin,Engagement,EngagementDmin,FinMarkerVisible,FinOrdre,FinSignalSensix,FinSignalSonore,ForceGuidonMax,ForceUDepart,ForceUPiedArMax,ForceUPiedAvMax,Franchissement,GaitDown,HauteurFWDmin,HauteurFWRecul,ImpulsionParCoups,ImpulsionParCoupsPAr,ImpulsionParCoupsPAv,longueurManivelle,MasseRider,MoyennePuissanceBasDeButte,MoyennePuissanceButteTotale,MoyennePuissancePremCassure,PDenHaut,PGenHaut,PourcFuPremCassure,PremCassure,PuissanceMaxBasDeButte,PuissanceMaxPremCassure,Rate,RateForceDeveloppement,Recul,TailleRider,ThetaManivelleDepart,ThetaManivelleRecul,TimeToPeak,TpsBasDeButte,TpsDmin,TpsPassageGrille,TpsPremCassure,TpsReaction,TpsRecul,TpsTroism,TravailParCoups,TravailParCoupsPAr,TravailParCoupsPAv,Troism,VitesseBasDeButte,VitessePassageGrille,VitessePremCassure,VitesseTroism,VMaxBasDeButte,VMaxPremCassure
6651.0,47.521654399695024,7307.0,7326.0,6492.0,5.5794724904e-313,6708.0,6991.0,6600.0,6726.0,6849.0,6937.0,7009.0,7072.0,7129.0,7181.0,7229.0,7274.0,7601.0,7601.0,7829.0,7829.0,8505.0,8505.0,8850.0,8850.0,4837.0,5.182295443925164,12.706448129199568,6668.0,6636.0,19.103362173354963,7031.0,6427.0,9155.0,7275.0,,796.3460083007812,1964.9229736328118,6660.0,6712.0,6701.0,12.74171657341988,5.367056153813411,61565.83044574262,126.0057675719261,61439.82467817068,175.0,85.90000000000002,1599.831655571518,1438.52781959914,1324.097661376318,6849.0,6726.0,71.61368910620841,6963.0,3634.278073259791,3285.5832236192,300.0,3670.6843338613426,6599.0,177.0,81.25708966377317,74.6680744733536,0.4233333333333333,2.357500000000002,0.2266666666666667,0.3733333333333334,1.21,6533.0,-0.003333333333333334,0.8066666666666666,161393.4454818412,10166.13942598081,151227.3060558604,6842.0,12.8,4.988159691753157,8.304584282401871,6.788139325543362,218.6455117594978,132.7148918266485
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29971.041518902784,25560.47117999792,4410.570338904858,,,,,,7009.0,6937.0,,,,,,,,,,,,,,,,,,,222941.80036279192,190429.4990602252,32512.301302566768,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18902.95074292049,2528.702572830766,16374.248170089719,,,,,,7129.0,7072.0,,,,,,,,,,,,,,,,,,,199887.8948710656,25575.97267947133,174311.9221915942,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9938.78400068581,8116.836509037018,1821.947491648793,,,,,,7229.0,7181.0,,,,,,,,,,,,,,,,,,,129602.2983636068,105567.5228121871,24034.77555141973,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8707.370475786924,1073.210769098997,7634.1597066879285,,,,,,7601.0,7274.0,,,,,,,,,,,,,,,,,,,127316.15152965301,15353.44128347282,111962.7102461802,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6820.354715776444,6139.59167509079,680.7630406856538,,,,,,7829.0,7601.0,,,,,,,,,,,,,,,,,,,111090.4051967855,100083.9496449948,11006.455551790701,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5402.296458569171,178.237937489152,5224.058521080017,,,,,,8505.0,7829.0,,,,,,,,,,,,,,,,,,,97630.93164688665,3133.081302901226,94497.8503439854,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4017.1641199134287,4083.1982716083535,-66.03415169492365,,,,,,8850.0,8505.0,,,,,,,,,,,,,,,,,,,78545.24298063706,79869.79916534522,-1324.556184708143,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2708.569936585426,-859.4528360843657,3568.0227726697917,,,,,,,8850.0,,,,,,,,,,,,,,,,,,,55338.156855807414,-18331.8645365208,73670.02139232823,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3109.102783250809,39670.520699357985,-42779.6234826088,,,,,,,,,,,,,,,,,,,,,,,,,,-10844.14237398621,71734.30634554914,-82578.44871953534,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.6018921047449,1465.905526614189,-1419.303634509444,,,,,,,,,,,,,,,,,,,,,,,,,,49.62793127491346,-67.20436961157193,116.8323008864854,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3188.5333128452303,61679.402146101,-64867.935458946224,,,,,,,,,,,,,,,,,,,,,,,,,,160.516548547276,8139.433703738563,-7978.917155191285,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1173.220938104391,13327.61946752965,-14500.84040563404,,,,,,,,,,,,,,,,,,,,,,,,,,37.41397444087337,6058.273400033937,-6020.859425593064,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,
