alphaGait,DeplacementRider,DistanceAligne,DistanceEngage,DistanceFWGait,DistanceFWRButte,ForcePied,ForcePiedAr,ForcePiedAr.1,ForcePiedAr.2,ForcePiedAv,ForcePiedAv.1,ForcePiedAv.2,ForceUPiedAr,ForceUPiedAv,IndiceEfficacitePiedAr,IndiceEfficacitePiedAv,IndiceEfficaciteTotal,Moment,MomentPAr,MomentPAv,Puissance,PuissancePAr,PuissancePAv,ThetaM,ThetaMDeg,ThetaMr,ThetaMrDeg,ThetaMrv,Time,VitesseRider
0.07904272208163968+0i,0.00903753909375382,0.2565325178776834,0.4428775848937029,2.9056302457974863e-06,-7.198867638363858e-06,804.913857217178,10.99600028991699,-211.6649932861328,24.76399993896484,-423.5199890136719,411.5599975585938,33.86800003051758,-211.6649932861328,411.5599975585938,-0.9919999837875366,0.6959999799728394,0.2483433506332668,35.98110076904297,-38.0996987915039,74.08079956054688,-0.2546070068413484,0.2695984854139792,-0.5242054922553276,6.107999801635742,79.96260990047205,4.537203474840847,259.962609900472,-0.007076131674670844,0.003333333333333334,2.03348810631809
0.07673218440202483+0i,0.02044410541671482,0.2565364576268886,0.4429665225032875,7.89052340746943e-05,3.944821128315512e-05,799.3739475067041,8.920000076293945,-204.73199462890616,24.25300025939941,-428.3200073242188,408.9719848632812,30.881999969482425,-204.73199462890616,408.9719848632812,-0.9919999837875366,0.6899999976158142,0.2554999332557834,36.7631982421875,-36.851759033203116,73.61495727539062,-0.2654401321370044,0.2660795647542235,-0.5315196968912279,6.10699987411499,79.90531827371397,4.536203547320094,259.905318273714,-0.007220267681509803,0.006666666666666667,2.163969220303694
0.08260510716549674+0i,0.024247496098325882,0.2565668776651364,0.4430465017494579,1.8093077669312233e-05,3.220571572348785e-05,808.4496436695622,13.734999656677251,-213.5670013427734,24.72800064086914,-428.3200073242188,408.9719848632812,30.881999969482425,-213.5670013427734,408.9719848632812,-0.99099999666214,0.6899999976158142,0.2417033454719113,35.17289703369141,-38.44206024169922,73.61495727539062,-0.2415918568733387,0.2640467376608971,-0.5056385945342358,6.107999801635742,79.96260990047205,4.537203474840847,259.962609900472,-0.006868693717265392,0.01,2.2798095452488942
0.08031690667150335+0i,0.04734157219479584,0.256575763989541,0.4431552833887821,1.142472728674071e-05,2.327002016525026e-05,797.0800712884289,11.84500026702881,-207.6410064697266,27.69599914550781,-426.4509887695312,402.302001953125,34.25500106811523,-207.6410064697266,402.302001953125,-0.9900000095367432,0.6850000023841858,0.2442176168935467,35.03897918701172,-37.37538116455078,72.41436035156248,-0.2959307128319039,0.3156633967946633,-0.6115941096265671,6.107999801635742,79.96260990047205,4.537203474840847,259.962609900472,-0.008445757259435223,0.013333333333333329,2.2281289623313127
0.08076013498224252+0i,0.059101178799494385,0.2566012420557347,0.4432416643733245,4.742231269699859e-06,2.079007705543812e-05,788.6128161465346,12.98099994659424,-199.6450042724609,27.49099922180176,-423.4020080566406,404.7869873046875,32.490001678466804,-199.6450042724609,404.7869873046875,-0.9890000224113464,0.6899999976158142,0.2601301663275385,36.92555694580078,-35.936100769042966,72.86165771484373,-0.3574326925965028,0.3478549363020238,-0.7052876288985266,6.107999801635742,79.96260990047205,4.537203474840847,259.962609900472,-0.009679818590715948,0.01666666666666667,1.9795227924668783
0.07575474601247453+0i,0.03627233194950463,0.2566129037125773,0.4432110789442335,2.722962929327388e-05,2.912415879835484e-05,805.833830497722,9.454999923706056,-208.2400054931641,27.06599998474121,-426.8250122070312,414.1159973144531,33.208999633789055,-208.2400054931641,414.1159973144531,-0.99099999666214,0.6949999928474426,0.2554819418466585,37.05767852783203,-37.48320098876953,74.54087951660156,-0.2779496956070508,0.2811413104947106,-0.5590910061017614,6.10699987411499,79.90531827371397,4.536203547320094,259.905318273714,-0.007500461622232966,0.02,1.5723603237378438
0.07635862826795876+0i,0.08013652970217322,0.2566164969312957,0.4432776199774957,1.677299860991521e-05,3.518283908929276e-05,796.4612690061481,13.40299987792969,-203.8509979248047,30.78700065612793,-424.1159973144531,408.3210144042969,36.58300018310547,-203.8509979248047,408.3210144042969,-0.9869999885559082,0.6919999718666077,0.2567231131460253,36.80460296630859,-36.693179626464854,73.49778259277343,-0.1014785263740905,0.1011713072922443,-0.2026498336663347,6.107999801635742,79.96260990047205,4.537203474840847,259.962609900472,-0.002757223776248455,0.02333333333333333,1.0333387372153922
0.077231227906529+0i,0.05352442689431314,0.2566091459589023,0.4433435397082511,1.250262698176963e-05,5.164878298219433e-05,799.2428463268335,10.5600004196167,-211.6869964599609,24.76399993896484,-420.8450012207031,405.864990234375,37.20600128173828,-211.6869964599609,405.864990234375,-0.9919999837875366,0.6930000185966492,0.2429524326264774,34.95203887939453,-38.10365936279297,73.0556982421875,0.02725472405041276,-0.029712278726494682,0.05696700277690744,6.10699987411499,79.90531827371397,4.536203547320094,259.905318273714,0.0007797749408684822,0.02666666666666667,0.4011631113414361
0.07723570065632585+0i,0.07181666254180641,0.2566215965050772,0.4433016623366925,1.1766110781102901e-05,5.36821702227519e-05,788.1189546852112,10.887999534606928,-204.1499938964844,24.88400077819824,-419.7269897460938,402.4509887695312,28.006000518798828,-204.1499938964844,402.4509887695312,-0.99099999666214,0.6909999847412109,0.2516130257928536,35.69417907714844,-36.74699890136718,72.44117797851563,-0.009274750205422677,0.009548314162723413,-0.01882306436814609,6.107999801635742,79.96260990047205,4.537203474840847,259.962609900472,-0.0002598392915936371,0.03,-0.2354361084600619
0.06883777912353033+0i,0.06999326438167941,0.2566082397752367,0.4432558430667593,-4.175528592720301e-06,3.8599844067954685e-05,787.9850915753343,11.161999702453608,-204.4069976806641,25.04299926757812,-417.5450134277344,403.302001953125,37.8650016784668,-204.4069976806641,403.302001953125,-0.99099999666214,0.6930000185966492,0.2524096031751457,35.80110076904297,-36.79325958251953,72.5943603515625,-0.2267194353612627,0.2330025294882068,-0.4597219648494695,6.107999801635742,79.96260990047205,4.537203474840847,259.962609900472,-0.006332750404068745,0.03333333333333333,-0.757770917140129
