Alignement,AlphaGaitDmin,BasDeButte,BasDeButte2,Bip,c3d,CGR18,CGR28,ChuteGrille,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,DebutOrdre,DistanceDmin,DistanceRecul,Dmin,Engagement,EngagementDmin,FinMarkerVisible,FinOrdre,FinSignalSensix,FinSignalSonore,ForceGuidonMax,ForceUDepart,ForceUPiedArMax,ForceUPiedAvMax,Franchissement,GaitDown,HauteurFWDmin,HauteurFWRecul,ImpulsionParCoups,ImpulsionParCoupsPAr,ImpulsionParCoupsPAv,longueurManivelle,MasseRider,MoyennePuissanceBasDeButte,MoyennePuissanceButteTotale,MoyennePuissancePremCassure,PDenHaut,PGenHaut,PourcFuPremCassure,PremCassure,PuissanceMaxBasDeButte,PuissanceMaxPremCassure,Rate,RateForceDeveloppement,Recul,TailleRider,ThetaManivelleDepart,ThetaManivelleRecul,TimeToPeak,TpsBasDeButte,TpsDmin,TpsPassageGrille,TpsPremCassure,TpsReaction,TpsRecul,TpsTroism,TravailParCoups,TravailParCoupsPAr,TravailParCoupsPAv,Troism,VitesseBasDeButte,VitessePassageGrille,VitessePremCassure,VitesseTroism,VMaxBasDeButte,VMaxPremCassure
7342.0,1.337008235198894,7999.0,8018.0,7147.0,6.27492635347e-313,7393.0,7677.0,7255.0,7409.0,7531.0,7620.0,7694.0,7757.0,7815.0,7866.0,7916.0,8535.0,8535.0,5322.0,12.33632688900411,5.932041591030202,7355.0,7337.0,11.95457615582953,7717.0,6912.0,8945.0,7930.0,,443.2040100097656,1799.239990234375,7328.0,7395.0,7358.0,11.949151743707011,5.1925786081229734,38737.95690675973,-5058.904292714595,43796.86119947433,180.0,83.19999999999997,806.2637398113588,856.1682930134849,895.0665876107357,7409.0,7531.0,54.247228845937116,7649.0,3673.489748138456,3098.8933725287543,300.0,4857.461154076361,7288.0,181.0,79.96260990047205,80.87935789087119,0.31,2.479166666666668,0.3333333333333333,0.4666666666666667,1.313333333333333,7235.0,0.11,0.9,91217.47444472254,5624.352283632161,85593.12216109037,7525.0,12.46753246753276,4.6138500462713745,7.849283448155667,6.7802953878064205,195.6062094582154,120.01731731184559
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23738.22515833855,21780.6433504486,1957.581807889938,,,,,,7620.0,7694.0,,,,,,,,,,,,,,,,,,,173709.7455098358,158742.8015175665,14966.943992269331,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13301.83477255315,834.9275679633023,12466.907204589841,,,,,,7757.0,7815.0,,,,,,,,,,,,,,,,,,,135139.2690692008,8356.835828765092,126782.4332404357,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9135.404066333773,8186.9685932922375,948.4354730415345,,,,,,7866.0,7916.0,,,,,,,,,,,,,,,,,,,113554.5340217148,101293.8200452455,12260.71397646927,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5860.155263798833,669.3901167422532,5190.76514705658,,,,,,8535.0,8535.0,,,,,,,,,,,,,,,,,,,85864.99640723935,10237.9338030897,75627.06260414966,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5117.7307539653775,5542.289370088577,-424.55861612319944,,,,,,,,,,,,,,,,,,,,,,,,,,81747.78565618827,88798.56816389137,-7050.782507703114,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2165.537721653581,-215.31491927146908,2380.85264092505,,,,,,,,,,,,,,,,,,,,,,,,,,39167.80695434289,-3622.3851782369375,42790.19213257983,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1798.8696754074103,2495.900863981247,-697.0311885738373,,,,,,,,,,,,,,,,,,,,,,,,,,34004.9302649141,46909.458955001915,-12904.52869008783,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16413.09673425079,-59818.687055947776,43405.59032169699,,,,,,,,,,,,,,,,,,,,,,,,,,-33535.4029859974,-83842.6131292325,50307.21014323512,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,
