Impulsion,ImpulsionPAr,ImpulsionPAv,Travail,TravailPAr,TravailPAv
0.0,0.0,0.0,0.0,0.0,0.0
55.082881164550784,-28.861649780273442,83.94453094482422,-0.08080241005008831,0.04186486194266307,-0.1226672719927514
110.4514219665527,-57.702149505615246,168.153571472168,-0.1491602429801647,0.07717374060952809,-0.2263339835896929
164.9817910766602,-87.4384194946289,252.4202105712891,0.09303108065493293,-0.059821150395845214,0.1528522310507781
219.7095323181152,-117.3359687805176,337.0455010986328,0.9514906113877146,-0.5212882281667934,1.472778839554508
275.34357421875,-146.6117083740234,421.95528259277336,2.671565946978284,-1.4262975188622031,4.097863465840488
331.38774398803713,-175.09193893432618,506.4796829223633,5.388777538876556,-2.7984970880823266,8.187274626958885
387.82395401000986,-203.41250930786134,591.2364633178711,8.950006802281553,-4.589315475146313,13.53932227742787
443.20122482299814,-232.3326585388184,675.5338833618164,12.85139960403035,-6.627471587141057,19.47887119117141
498.03993621826174,-261.2906076049805,759.3305438232422,16.62890238598538,-8.622804871437943,25.25170725742333
553.7754080200195,-289.803776550293,843.5791845703125,19.98718705455454,-10.34481000740867,30.33199706196321
609.7425375366211,-317.8766656494141,927.6192031860353,22.69164842923364,-11.70047395375123,34.39212238298487
666.8165780639648,-345.3623052978515,1012.1788833618159,24.766759627802486,-12.70651919022946,37.47327881803196
724.233518371582,-372.50504516601563,1096.7385635375979,26.33047535387209,-13.44282746206949,39.77330281594158
781.6014088439941,-399.6968348693848,1181.298243713379,27.58702876122971,-14.03923986015765,41.62626862138737
839.9727095031739,-426.2802250671386,1266.2529345703128,28.965192498053714,-14.665629336009278,43.630821834063
897.8520698547362,-453.1374851989746,1350.989555053711,30.73065434705517,-15.488530079721519,46.21918442677671
955.7423217773436,-480.6521054077148,1436.394427185059,32.70255221847341,-16.42587362887234,49.12842584734576
1012.6138636779781,-508.5201557922363,1521.1340194702152,34.22212907922327,-17.162442978572198,51.38457205779547
1069.311253051758,-536.5592962646483,1605.870549316406,34.628970222902566,-17.37431270295328,52.003282925855856
1127.047332458496,-563.8518869018554,1690.899219360352,33.60643044520918,-16.89589865482889,50.50232910003807
1185.168972930908,-590.9770774841309,1776.146050415039,31.212893091142238,-15.778526071429551,46.991419162571795
1242.79480178833,-618.3799186706542,1861.174720458984,28.01010447383693,-14.25338408812609,42.26348856196302
1300.285182952881,-645.4850386047364,1945.7702215576169,24.811728509319693,-12.74235274291904,37.55408125223874
1358.311603546143,-672.2424879455567,2030.554091491699,22.623201357203694,-11.73472028226882,34.357921639472515
1415.608213348389,-698.7832182312013,2114.39143157959,22.275980476686932,-11.574021404021721,33.850001880708646
1472.6986344909672,-725.0466590881348,2197.745293579102,23.70633246068968,-12.229566647908248,35.93589910859793
1529.751975402832,-751.9414498901367,2281.693425292969,26.0674470696833,-13.345404003373401,39.4128510730567
1586.579956512451,-779.5923307800293,2366.17228729248,28.36068073888146,-14.46112612151274,42.821806860394204
1643.9446952819821,-806.7399320983889,2450.6846273803712,29.961836251487412,-15.225080097995939,45.18691634948335
1701.8659931945801,-833.5763127136232,2535.4423059082033,30.66252791505691,-15.54810165654512,46.21062957160204
1760.8098738098142,-859.9707929992676,2620.780666809082,30.665327213470977,-15.55383882189576,46.219166035366754
1819.875614776611,-886.3695030212402,2706.245117797851,30.56563366051969,-15.5116919113678,46.07732557188749
1878.0323551940921,-913.2134422302246,2791.2457974243157,30.977112698417713,-15.70031821461668,46.67743091303439
1936.323194732666,-939.7056623840332,2876.028857116698,32.111987291747624,-16.21485223018901,48.326839521936634
1995.268964996338,-965.7567924499514,2961.025757446288,33.79216301340406,-16.95579505462278,50.747958068026826
2054.571495666504,-991.065151977539,3045.636647644043,35.68091313679117,-17.76174253504193,53.442655671833094
2113.420244293213,-1016.725411834717,3130.145656127929,37.48891771157221,-18.54878124968948,56.03769896126168
2173.091504974365,-1042.687981109619,3215.7794860839836,39.16590221199696,-19.27957774466596,58.4454799566629
2233.158316040039,-1068.511591186523,3301.669907226562,40.78654992516833,-19.976335159307737,60.76288508447607
2293.268145446777,-1094.104352416992,3387.372497863769,42.44904721161406,-20.683582378809604,63.13262959042365
2355.516555633545,-1118.313812713623,3473.8303683471668,44.323523436487754,-21.41023268630066,65.7337561227884
2419.309276199341,-1140.9219023895262,3560.231178588866,46.641302556449034,-22.22777512872786,68.86907768517689
2483.747835617066,-1162.724222488403,3646.472058105468,49.71824143022202,-23.267735829460612,72.98597725968263
2548.339123535157,-1184.383262329101,3732.7223858642574,53.73157608159809,-24.61322626773697,78.34480234933505
2613.422530975342,-1205.4582023620599,3818.8807333374016,58.68181099832096,-26.21178872291394,84.8935997212349
2679.5394998931893,-1226.254772872925,3905.794272766112,64.26781393470512,-27.969028224076354,92.23684215878149
2746.547558898927,-1246.556343383789,3993.1039022827144,69.8369007489281,-29.65938105484005,99.49628180376816
2815.0896670532234,-1265.752713317871,4080.842380371093,74.81710496982282,-31.058883177908488,105.8759881477313
2883.779555740357,-1284.8013027191162,4168.580858459472,78.9618546025287,-32.20545798801538,111.16731259054409
2951.9495150756843,-1303.9925427246092,4255.942057800292,82.43746704615391,-33.18469207917297,115.6221591253269
3021.206674575807,-1322.72784324646,4343.934517822265,85.53268891206116,-34.02341937527318,119.55610828733428
3091.128303680421,-1341.185313262939,4432.313616943358,88.4248185274468,-34.78680647819038,123.2116250056372
3160.0969237518325,-1360.605243301391,4520.702167053221,91.2763178822308,-35.59056156143301,126.86687944366379
