,alphaGait,AngleBike,AngleBike.1,AngleBike.2,DeplacementRider,DistanceAligne,DistanceEngage,DistanceFWGait,DistanceFWRButte,ForceGuidon,ForceGuidon.1,ForceGuidon.2,ForceGuidon_R0,ForceGuidon_R0.1,ForceGuidon_R0.2,ForcePedaleD_R0,ForcePedaleD_R0.1,ForcePedaleD_R0.2,ForcePedaleG_R0,ForcePedaleG_R0.1,ForcePedaleG_R0.2,ForcePied,ForcePiedAr,ForcePiedAr.1,ForcePiedAr.2,ForcePiedAv,ForcePiedAv.1,ForcePiedAv.2,ForceUPiedAr,ForceUPiedAv,IndiceEfficacitePiedAr,IndiceEfficacitePiedAv,IndiceEfficaciteTotal,Moment,MomentPAr,MomentPAv,normForceGuidon,Puissance,PuissancePAr,PuissancePAv,ThetaM,ThetaMDeg,ThetaMr,ThetaMrDeg,ThetaMrv,Time,VitessePedalier,VitesseRider
0,0.01779646050594061,-15.21081432006908,1.144593213688206,0.1482531078367214,-0.008221518935044969,0.2422163910088776,0.3617562359116781,2.6404271413399398e-05,-1.791825413910431e-05,-63.818767099158535,-196.69122436222943,-50.98629690669857,-56.681778364094725,-196.9619454441116,-57.90546861723807,-51.45098991544551,-261.067878367159,42.31155609831582,24.681509716003237,-448.188042690447,-31.50507037607496,719.4039770085994,-35.33541134179019,-263.4904792310063,43.79595092917947,-54.898013824970896,445.7823360815558,27.17691865721233,-263.4904792310063,445.7823360815558,-0.9779459111895136,0.9906903598409916,0.2533928956141571,31.90107494884616,-46.1108338654261,78.01190881427227,212.9785793159197,0.004535875218785535,-0.006556299089704748,0.01109217430849028,1.378767663470872,78.99756804599477,-11.1876029508883,-637.285556972478,0.0002065163600534965,0.003333333333333334,0.0001421856544351209,9.70594823587504e-05
1,0.01718870053390458,-15.21132636625651,1.1410010477603278,0.1503869663279545,0.008899739854939527,0.2422158621073377,0.3617581341493148,3.014213479021755e-05,2.592562527947706e-05,-49.453192744931364,-202.0038145893161,-26.899460619536892,-42.8433808428385,-202.5146421450121,-33.57089212036666,-52.422698240320166,-263.1906832573545,36.37724604913061,28.145420860519014,-445.43046473965865,-34.368543759247196,718.4551288745631,-35.9766214693057,-265.7296291284333,37.871176180669714,-58.29301263302588,442.8162263579018,29.95621448128275,-265.7296291284333,442.8162263579018,-0.9812218755502748,0.989223764616182,0.2464824734522657,30.990154515157013,-46.502685097475826,77.49283961263285,209.70155069270268,-0.015649929225574368,0.02348370771170972,-0.0391336369372841,1.378827044907311,79.00097035168412,-11.18754356945186,-637.2821546667886,-0.008453662907522742,0.006666666666666667,-0.0005049968117429078,-0.0003447234486148151
2,0.01854572546505105,-15.20223375146056,1.146528379196541,0.1543661520682544,0.005318290899253952,0.2422340581363979,0.3618111577710915,2.099420845411148e-05,2.584553572237969e-05,-26.626920053514013,-209.10925939199882,-15.97165821480014,-20.15101777339614,-209.2650824341715,-22.19979409031805,-51.41354717416964,-261.1208803906766,37.16935234285511,24.431897747862312,-445.7150588043381,-32.559465898329556,716.2874257386179,-35.16353833707855,-263.5832532059747,38.68361363150755,-54.50427361515694,443.3420673394989,28.21427966339785,-263.5832532059747,443.3420673394989,-0.9808939706941155,0.9905534717035308,0.2509590531317248,31.457792473366734,-46.127069311045574,77.58486178441231,211.4019136647936,-0.04782569878532394,0.07012759476328646,-0.1179532935486104,1.378903417978637,79.00534620633955,-11.18746719638053,-637.2777788121333,-0.01833230183538186,0.01,-0.00152031325229877,-0.001037803833847381
3,0.01749441841933913,-15.20925811912869,1.153989042929761,0.1511497513135731,0.019223933493663036,0.2422282091480816,0.3618479598430948,1.08511785454346e-05,-2.965225038703556e-06,0.5579007171268202,-212.4863607859597,-2.151551833181028,6.725210249740153,-212.25248208278302,-7.684357185656035,-55.042774701393405,-263.2056005367031,34.20158166362737,24.503935905738892,-445.7128676393372,-32.535316779572355,718.6358052191373,-38.58342107611767,-265.9293112099569,35.63094787497965,-54.55781457508446,443.3361298425241,28.20409433299386,-265.9293112099569,443.3361298425241,-0.9810509316155752,0.9905402056305032,0.2468661001082038,31.04619326069927,-46.53762946174245,77.58382272244172,212.4979857517762,-0.08583565006231161,0.1286659412207008,-0.2145015912830125,1.378792788331786,78.999007594486,-11.187577826027393,-637.2841174239867,-0.03044000084746421,0.013333333333333329,-0.002764772136201613,-0.001887302579469358
4,0.015533408236703268,-15.210346418020869,1.15210118589284,0.1558877489196213,-0.014929551108764368,0.242083967898696,0.3614584332834965,2.61165257497975e-05,2.6646777374295112e-05,20.26459967603559,-228.02003843582082,2.319026213326907,26.72210530245554,-227.34498590711232,-3.0588040114778186,-53.708193520168116,-259.8118732096602,36.45076819125501,27.41988583059544,-438.83153242679685,-30.86880684410647,708.5669902633966,-37.53148870611774,-262.4322965765547,37.89610907075789,-56.97267578044121,436.26912355663177,26.48043187974129,-262.4322965765547,436.26912355663177,-0.9799658765772772,0.9897894858475742,0.2453357683448625,30.421444721513485,-45.92565190089707,76.34709662241056,228.9304912214213,-0.1175558159429071,0.177467820195335,-0.2950236361382421,1.378771675187459,78.99779790042382,-11.18759893917171,-637.2853271180488,-0.04442642514868311,0.01666666666666667,-0.003864241722214257,-0.002637828005619328
5,0.014363873526014181,-15.21051858273782,1.146597412515892,0.1450937685383259,-0.0031052115532190787,0.2420913567765565,0.3614986056536907,1.5066748599218421e-05,8.686691455594975e-06,33.41428277362578,-231.4201876968572,5.818785706632411,39.87623819326671,-230.46701986665798,0.7170881113802859,-50.1122910719015,-257.70916732322394,39.48466712804882,32.26419589223752,-442.07419672632653,-32.07236256079555,709.8976184177667,-34.21300422031914,-260.0702564357815,40.95396973145007,-61.96362679835576,439.2013341079791,27.602667621010752,-260.0702564357815,439.2013341079791,-0.9795903631059434,0.9882821902468184,0.2523336788640711,31.34793859263459,-45.512294876261755,76.86023346889634,233.8924450127112,-0.14020202112142402,0.2035513661821887,-0.3437533873036127,1.3785257335380892,78.98370648190844,-11.18784488082108,-637.2994185365644,-0.05893194102232002,0.02,-0.004472447867891556,-0.0030530047258114533
6,0.01776265548028309,-15.21078776686402,1.157299298550396,0.1519266107928833,-0.021676175975926533,0.2420798288202475,0.3615833290848071,9.807852874493815e-06,1.295141456031379e-05,50.37122191546271,-234.0884553034225,11.446986582346511,56.74232992604134,-232.8092673016459,6.771370500180208,-51.417858984824626,-261.1165080239128,37.194096002382544,31.868760669969397,-439.6097940441311,-33.12781902730635,710.7239830308379,-35.23306550688768,-263.5715131980429,38.700339638059404,-61.448319682752896,436.7775327619386,28.623979496723877,-263.5715131980429,436.7775327619386,-0.9808502816400648,0.9881696903975428,0.24370363699458894,30.31105342368175,-46.12501480965751,76.43606823333926,239.7200417266267,-0.1360131702651671,0.2069743141255456,-0.3429874843907126,1.3786191463271,78.98905864047127,-11.187751468032069,-637.2940663780015,-0.07150236923949509,0.02333333333333333,-0.004487246561972051,-0.0030631066843587037
7,0.01435745591910144,-15.204723509295981,1.140133567648761,0.1332650926534421,0.002692505285835978,0.2420690988057496,0.3615546294694966,3.444056792145657e-06,-5.165859494088432e-06,59.873896790818904,-237.6577343109127,10.04069916450191,66.38851808580645,-236.0694378837818,5.539223594680926,-51.64460096866337,-253.9157521755764,39.45894116714678,28.4380417133998,-445.421563888596,-34.24278961007256,709.7419558016345,-36.17932442528357,-256.3665200104152,40.80007294127081,-58.08922723964774,442.8435495801908,29.94816701658095,-256.3665200104152,442.8435495801908,-0.978117917757059,0.9892848029865152,0.2627391942176433,32.63348017471073,-44.86414100182265,77.4976211765334,245.2894164745516,-0.1329347014026897,0.1827571302795726,-0.3156918316822623,1.377807036917552,78.94252819880136,-11.188563577441617,-637.3405968196714,-0.07941593306992563,0.02666666666666667,-0.004073568025567411,-0.002780719373447181
8,0.014284252251597282,-15.21236120100687,1.135797045617003,0.1218195710253656,-0.050433126734247935,0.2420833664011434,0.3615928453098333,1.8922884187727574e-05,2.652228524269162e-05,56.31444256376722,-240.2092449374657,8.202744787521613,62.95317941718817,-238.6700623260688,3.5470223120498483,-51.63308814499312,-254.2673459635311,39.659886095025385,27.98322657176298,-442.9722532291698,-35.15878751348899,707.7160751469178,-36.14480910803329,-256.7233863769907,40.956333349937495,-57.50775894391585,440.4275131665712,30.985185926040447,-256.7233863769907,440.4275131665712,-0.9781037574128174,0.9891788754662628,0.2595732006672939,32.14822218817659,-44.926592615973355,77.07481480414997,246.8584266674817,-0.1137323631191484,0.1589390391542439,-0.2726714022733923,1.377655100155128,78.93382286356155,-11.18871551420404,-637.3493021549112,-0.08160618634519101,0.03,-0.003537749691209258,-0.00241495638295836
9,0.0198165739671203,-15.204522222847473,1.15432071967917,0.1221861324485781,-0.033458796101399464,0.24210130073889494,0.3616496676496455,1.3710649012871333e-05,4.802556690303161e-06,42.85140372763989,-228.5942774697861,5.088448809378328,49.24825946640692,-227.3586831728833,0.3419503916049951,-51.5367832316017,-261.074162559002,37.32652382521814,29.256677554111892,-446.9343268505226,-34.54239977079009,717.9382820242189,-35.619191441122595,-263.5190445696977,38.70418727701541,-58.921625648161424,444.30982479185616,30.27283774554775,-263.5190445696977,444.30982479185616,-0.9806550258316308,0.9890675569507528,0.2518193899793459,31.63838653887773,-46.1158327996971,77.75421933857481,232.63163758321517,-0.1002342571771856,0.1461005680269085,-0.2463348252040941,1.377701377380091,78.93647435323952,-11.188669236979079,-637.3466506652333,-0.07862092273437697,0.03333333333333333,-0.0031681216440672872,-0.002162639037280559
