alphaGait,DeplacementRider,DistanceAligne,DistanceFWGait,DistanceFWRButte,ForcePied,ForcePiedAr,ForcePiedAr.1,ForcePiedAr.2,ForcePiedAv,ForcePiedAv.1,ForcePiedAv.2,ForceUPiedAr,ForceUPiedAv,IndiceEfficacitePiedAr,IndiceEfficacitePiedAv,IndiceEfficaciteTotal,Moment,MomentPAr,MomentPAv,Puissance,PuissancePAr,PuissancePAv,ThetaM,ThetaMDeg,ThetaMr,ThetaMrDeg,ThetaMrv,Time,VitesseRider
89.81193054410542,1552.199147414291,,,0.1147582647597279,1787.5532836863931,941.322021484375,1199.786010742188,187.8249969482422,-172.24200439453116,168.8800048828125,69.5469970703125,1199.786010742188,168.8800048828125,0.781000018119812,0.6729999780654907,0.7656644577343505,239.516552734375,209.96255187988282,29.55400085449219,1633.5167661998194,1431.956768141413,201.5599980584061,5.507999897003174,45.58514765677398,3.9372035702082746,225.5851476567739,6.820057935667587,0.8666666666666667,4641.804589558884
89.78465152352024,1566.8566121809092,,,0.1130423088960841,1814.9482105159202,948.489013671875,1232.463989257812,202.6880035400391,-165.6900024414062,165.4649963378906,77.36399841308594,1232.463989257812,165.4649963378906,0.7860000133514404,0.6710000038146973,0.7702307853722866,244.637572479248,215.6811981201172,28.95637435913086,1670.392282388681,1472.677337111611,197.71494527706955,5.5339999198913565,47.074839235510474,3.963203593096459,227.0748392355104,6.828028358278347,0.87,4560.1495503611895
89.8772699099688,1582.2464496071411,,,0.1115162079859146,1849.688269836265,930.8790283203124,1295.880004882812,198.0780029296875,-158.8679962158203,165.7350006103516,76.12200164794922,1295.880004882812,165.7350006103516,0.8059999942779541,0.6850000023841858,0.7901953152476588,255.78262596130367,226.77900085449215,29.00362510681152,1753.203673256929,1554.4049398248874,198.79873343204181,5.553999900817871,48.22075373294183,3.983203574022973,228.22075373294172,6.854271929799345,0.8733333333333333,4486.895721459583
89.80380808530012,1596.763948191133,,,0.1105197475077699,1875.206474457638,900.0999755859375,1351.944946289062,179.1360015869141,-147.1080017089844,172.4429931640625,82.41999816894531,1351.944946289062,172.4429931640625,0.8270000219345093,0.7149999737739563,0.8129173828146152,266.7678894042969,236.5903656005859,30.177523803710947,1831.6414580530802,1624.4410943822847,207.2003636707946,5.578000068664551,49.59586205816213,4.007203741869652,229.59586205816208,6.866049216580026,0.8766666666666667,4418.470353128364
89.90365456267517,1611.709405031424,,,0.1096510008265536,1912.32617703873,872.8350219726562,1412.4630126953118,158.8829956054688,-134.10099792480472,189.7330017089844,75.6729965209961,1412.4630126953118,189.7330017089844,0.847000002861023,0.7760000228881836,0.8378256981689832,280.38430252075193,247.1810272216797,33.20327529907227,1915.693679221753,1688.836098222957,226.85758099879644,5.602000236511231,50.97097038338252,4.031203909716332,230.97097038338242,6.832385629291668,0.88,4350.141582594718
89.87465637821488,1626.542341270866,,,0.1081893466063107,1953.52315100875,832.0,1472.8590087890618,156.3919982910156,-120.85299682617192,213.3300018310547,68.97499847412111,1472.8590087890618,213.3300018310547,0.8669999837875366,0.8379999995231628,0.8631528168731514,295.0830768585205,257.7503265380859,37.33275032043457,1987.1689875654226,1735.760182807501,251.40880475792198,5.625,52.28875976108804,4.054203673205102,232.288759761088,6.734269578320088,0.8833333333333333,4279.667777661944
89.87154988292934,1640.399594078483,,,0.1069863358704912,1981.049236551644,787.2960205078125,1542.824951171875,161.8710021972656,-88.6989974975586,213.91900634765616,68.18900299072266,1542.824951171875,213.91900634765616,0.8870000243186951,0.8859999775886536,0.8867745057045858,307.430192565918,269.9943664550781,37.43582611083984,2021.3560570820264,1775.2151909899924,246.1408660920331,5.64900016784668,53.663868086308405,4.078203841051781,233.66386808630836,6.575008265164503,0.8866666666666667,4209.25134308141
89.8617670665303,1654.395033286665,,,0.1059634676877054,2041.3085000283536,771.2169799804688,1607.1839599609382,165.9010009765625,-68.61799621582031,234.3869934082031,57.762001037597656,1607.1839599609382,234.3869934082031,0.8980000019073486,0.9340000152587892,0.9021521996031276,322.2749168395996,281.257192993164,41.01772384643554,2056.666898778925,1794.903446241271,261.7634525376541,5.671000003814697,54.92436583725589,4.100203677019799,234.92436583725586,6.381715707035787,0.89,4143.691161121371
89.84571568987269,1667.9274413685778,,,0.1047811554115994,2076.85297481083,727.8079833984375,1671.95703125,184.1089935302734,-72.36599731445312,228.5240020751953,46.012001037597656,1671.95703125,228.5240020751953,0.9120000004768372,0.9359999895095824,0.9150773099373106,332.5841808319092,292.59248046875,39.99170036315918,2060.085892045014,1812.370148286671,247.7157437583433,5.690000057220459,56.0129887079292,4.119203730425561,236.01298870792908,6.194178829828948,0.8933333333333333,4087.132180318699
89.63045844433346,1681.366063366239,,,0.103295537353372,2124.903181846985,708.594970703125,1733.6700439453118,196.5200042724609,-51.35699844360352,232.0220031738281,44.29399871826172,1733.6700439453118,232.0220031738281,0.9210000038146972,0.959999978542328,0.9250736993158172,343.9961082458496,303.3922576904297,40.60385055541993,2079.1282854323667,1833.716746860809,245.41153857155842,5.710000038146973,57.158903205360616,4.1392037113520725,237.1589032053605,6.044045951666527,0.8966666666666666,4041.4774244087516
