Alignement,AlphaGaitDmin,BasDeButte,BasDeButte2,Bip,c3d,CGR18,CGR28,ChuteGrille,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,CoupsDePedal,DebutOrdre,DistanceDmin,DistanceRecul,Dmin,Engagement,EngagementDmin,FinMarkerVisible,FinOrdre,FinSignalSensix,FinSignalSonore,ForceGuidonMax,ForceUDepart,ForceUPiedArMax,ForceUPiedAvMax,Franchissement,GaitDown,HauteurFWDmin,HauteurFWRecul,ImpulsionParCoups,ImpulsionParCoupsPAr,ImpulsionParCoupsPAv,longueurManivelle,MasseRider,MoyennePuissanceBasDeButte,MoyennePuissanceButteTotale,MoyennePuissancePremCassure,PDenHaut,PGenHaut,PourcFuPremCassure,PremCassure,PuissanceMaxBasDeButte,PuissanceMaxPremCassure,Rate,RateForceDeveloppement,Recul,TailleRider,ThetaManivelleDepart,ThetaManivelleRecul,TimeToPeak,TpsBasDeButte,TpsDmin,TpsPassageGrille,TpsPremCassure,TpsReaction,TpsRecul,TpsTroism,TravailParCoups,TravailParCoupsPAr,TravailParCoupsPAv,Troism,VitesseBasDeButte,VitessePassageGrille,VitessePremCassure,VitesseTroism,VMaxBasDeButte,VMaxPremCassure
8308.0,41.93818072471074,8951.0,8970.0,8143.0,5.569236085e-313,8358.0,8637.0,8251.0,8373.0,8494.0,8582.0,8654.0,8716.0,8773.0,8825.0,8873.0,8918.0,9258.0,9258.0,5972.0,5.412377431959302,14.134902068328008,8323.0,8298.0,15.078648511572778,8677.0,7562.0,9755.0,8926.0,,787.0170288085938,1957.0889892578118,8310.0,8360.0,8353.0,13.65963265860461,5.949078437803397,62132.53363887221,17.503421796858348,62115.03021707534,175.0,85.90000000000002,1655.875041450839,1505.3453810366489,1398.331144518753,8494.0,8373.0,72.44366208275018,8608.0,3791.292886148055,3590.472505994719,300.0,3850.880011611097,8249.0,177.0,79.59550954438419,72.2043569378383,0.4233333333333333,2.334166666666665,0.24,0.3633333333333333,1.19,8183.0,-0.006666666666666667,0.7933333333333333,173021.6737680034,11671.050339958821,161350.6234280445,8489.0,12.97297297297281,4.889677002494242,8.534403862768611,7.286061630134567,220.1150540326247,158.4872140659284
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30768.47481734753,26679.17843954563,4089.2963778018952,,,,,,8654.0,8582.0,,,,,,,,,,,,,,,,,,,229919.0280115747,199858.5958987637,30060.432112810988,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19637.72590071559,2417.188629406691,17220.5372713089,,,,,,8773.0,8716.0,,,,,,,,,,,,,,,,,,,205005.35184500032,25028.71130755129,179976.64053744898,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9604.88676954508,7738.149873828888,1866.7368957161898,,,,,,8873.0,8825.0,,,,,,,,,,,,,,,,,,,127571.93487257962,102105.5441839292,25466.390688650412,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8944.065928822756,1031.922323685885,7912.143605136873,,,,,,9258.0,8918.0,,,,,,,,,,,,,,,,,,,129388.8201011876,14224.135683210401,115164.6844179772,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6925.526459193229,6047.500278282166,878.0261809110643,,,,,,,9258.0,,,,,,,,,,,,,,,,,,,113605.6587073738,99264.42325231443,14341.235455059319,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5638.938092929126,172.6193815529347,5466.318711376191,,,,,,,,,,,,,,,,,,,,,,,,,,102298.4693470747,2873.7386127740288,99424.73073430068,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4385.245719605684,4265.199131107331,120.046588498354,,,,,,,,,,,,,,,,,,,,,,,,,,86448.86073520771,84050.51067747401,2398.350057733694,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2851.6559646189207,-814.6759297788143,3666.331894397736,,,,,,,,,,,,,,,,,,,,,,,,,,58174.11136372263,-17646.55897605469,75820.67033977731,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2566.449096155166,40103.212013196935,-42669.66110935211,,,,,,,,,,,,,,,,,,,,,,,,,,-8106.687511594575,72387.95288889487,-80494.64040048943,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,
